,query,pub_date,source,headline1,headline2,snippet,lead_paragraph,keywords
29,dementia,2017,The New York Times,Food Memories of Travels to France,To Appreciate: A Cookbook of Memories From Travels to France,“Cooking With Adrienne” chronicles the trips and recipes of a gastronome who has degenerative dementia.,"Gastronomy, and not just the Eiffel Tower, has always lured some travelers to France. Adrienne Zausner; her husband, Martin Zausner; and their friend Joan M. Harper were among those gastronomes, dining at Michelin three-star restaurants the way safarigoers checked the “Big Five” off their lists. Ms. Zausner went beyond exquisite dinners by befriending chefs, cooking with them and serving their recipes at home. Now, afflicted with primary progressive aphasia, a type of degenerative dementia, Ms. Zausner can no longer prepare lobster in Champagne sauce from L’Auberge de L’Ill or salmon in sorrel sauce from Jean Troisgros. Ms. Harper has assembled a cookbook of recipes, stories about Ms. Zausner’s travels and useful kitchen advice. Ten percent of the proceeds goes to the Association for Frontotemporal Degeneration: “Cooking With Adrienne: A Story of Friendship and Food” by Joan M. Harper (Harper Publications, $19.99), cookingwithadrienne.com.","[{'name': 'creative_works', 'value': 'Cooking With Adrienne: A Story of Friendship and Food (Book)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Cooking and Cookbooks', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Harper, Joan M', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Zausner, Adrienne', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'France', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Frontotemporal Dementia', 'rank': 6, 'major': 'N'}]"
240,dementia,2017,The New York Times,Ending Medical Tax Break Could Be a ‘Gut Punch’ to the Middle Class, Families Fear Costs if Medical Tax Break Ends,The tax deduction on medical expenses helps millions of Americans cope with high health care costs. The Republican tax proposal would eliminate it.,Suzanne Hollack tried to care for her husband at home after he was diagnosed with frontotemporal dementia at age 69. But it got to the point where she couldn’t take a shower for fear he would stray out of the house.,"[{'name': 'subject', 'value': 'Federal Taxes (US)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Tax Credits, Deductions and Exemptions', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'House of Representatives', 'rank': 3, 'major': 'N'}]"
4,dementia,2018,The New York Times,The Brain Fog of Menopause,The Brain Fog of Menopause Can Burn Off,"‘Menopause-related cognitive impairment happens to women in their 40s and 50s, women in the prime of life who suddenly have the rug pulled out from under them,’ an expert says.","Dr. Gayatri Devi’s patient, a 55-year-old former headmistress, had good reason to be distraught. The woman had a yearlong history of progressive memory loss and behavioral problems and was referred to Dr. Devi, a neurologist, with a possible diagnosis of frontotemporal dementia.","[{'name': 'subject', 'value': 'Menopause', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Estrogen', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Women and Girls', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Memory', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Brain', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Hormones', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Depression (Mental)', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 9, 'major': 'N'}]"
15,dementia,2018,The New York Times,Leading an Active Life With a Diagnosis of Dementia,"After a Dementia Diagnosis, Living Life to the Fullest","As the number of people with dementia rises, those with early stages of the ailment are pursuing fulfilling lives and making plans for future care.","Laurie Scherrer was a workaholic sales executive when she began forgetting customers and losing her ability to perform simple math calculations. Five years ago, at age 55, she learned she has early-onset Alzheimer’s disease and frontotemporal dementia.","[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Disability Insurance', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Health Insurance and Managed Care', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Long-Term Care Insurance', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Elder Care', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Home Health Care', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Retirement', 'rank': 9, 'major': 'N'}, {'name': 'organizations', 'value': ""ALZHEIMER'S ASSN"", 'rank': 10, 'major': 'N'}, {'name': 'organizations', 'value': 'End of Life Choices New York', 'rank': 11, 'major': 'N'}, {'name': 'organizations', 'value': 'University of Alabama', 'rank': 12, 'major': 'N'}, {'name': 'subject', 'value': 'Memory', 'rank': 13, 'major': 'N'}, {'name': 'subject', 'value': 'Medicaid', 'rank': 14, 'major': 'N'}, {'name': 'subject', 'value': 'Disabilities', 'rank': 15, 'major': 'N'}, {'name': 'subject', 'value': 'Retirement Communities and Assisted Living', 'rank': 16, 'major': 'N'}]"
31,dementia,2018,The New York Times,What if My Mother’s Extramarital Cravings Are Linked to Dementia?,What If My Mother’s Extramarital Cravings Are Linked to Dementia?,The magazine’s Ethicist columnist on how to address a parent’s —and a sibling’s — apparent mental decline.,"My mother is in her mid-50s, which is the time at which people can develop frontotemporal degeneration (FTD), a form of dementia she is at risk for. Symptoms of FTD include a lack of inhibition or social tact and unusual verbal, physical or sexual behavior. My father and I have at times worried that she may be exhibiting the beginnings of other symptoms. A few years ago, she consulted with a doctor, but no diagnosis was made. I think it is pertinent to note that there is currently no cure for FTD.","[{'name': 'subject', 'value': 'ADULTERY', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Frontotemporal Dementia', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Families and Family Life', 'rank': 4, 'major': 'N'}]"
7,dementia,2019,The New York Times,The Loneliness of Frontotemporal Dementia,,"Since areas that dictate personality rather than memory are the first to suffer, people with the disease usually land on a therapist’s couch long before finding their way to a neurologist.","At 66, Bob Karger was losing language. It was not the tip-of-the-tongue feeling that melts when you recall a sought-after word. He had lost the connection between sounds and meaning — the way ba-na-na recalls a soft, yellow fruit or ea-gle calls to mind a large bird of prey. In a recent conversation, he had thought acorns grew on pine trees. ","[{'name': 'subject', 'value': 'Dementia', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Frontotemporal Dementia', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Memory', 'rank': 4, 'major': 'N'}]"
14,dementia,2020,The New York Times,"‘Amazing, Isn’t It?’ Long-Sought Blood Test for Alzheimer’s in Reach",Blood Test Is ‘Big Step Forward’ In Early Detection of Alzheimer’s ,"Scientists say such tests could be available in a few years, speeding research for treatments and providing a diagnosis for dementia patients who want to know if they have Alzheimer’s disease.","A newly developed blood test for Alzheimer’s has diagnosed the disease as accurately as methods that are far more expensive or invasive, scientists reported on Tuesday, a significant step toward a longtime goal for patients, doctors and dementia researchers. The test has the potential to make diagnosis simpler, more affordable and widely available.","[{'name': 'subject', 'value': 'your-feed-science', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Tests (Medical)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Clinical Trials', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Frontotemporal Dementia', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': ""ALZHEIMER'S ASSN"", 'rank': 8, 'major': 'N'}, {'name': 'organizations', 'value': 'Eli Lilly and Company', 'rank': 9, 'major': 'N'}, {'name': 'organizations', 'value': 'Journal of the American Medical Assn', 'rank': 10, 'major': 'N'}, {'name': 'organizations', 'value': 'Lund University', 'rank': 11, 'major': 'N'}, {'name': 'organizations', 'value': 'University of California, San Francisco', 'rank': 12, 'major': 'N'}]"
21,dementia,2020,The New York Times,Stalked by the Fear That Dementia Is Stalking You,,"Testing for Alzheimer’s disease and other forms of dementia is hardly foolproof, and could even backfire.",Do I know I’m at risk for developing dementia? You bet.,"[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Families and Family Life', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Memory', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Genetics and Heredity', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Anxiety and Stress', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Living Wills and Health Care Proxies', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Diet and Nutrition', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Depression (Mental)', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'Frontotemporal Dementia', 'rank': 11, 'major': 'N'}, {'name': 'subject', 'value': 'Brain', 'rank': 12, 'major': 'N'}, {'name': 'subject', 'value': 'Nursing Homes', 'rank': 13, 'major': 'N'}]"
33,dementia,2020,The New York Times,"Watching My Son Grow, and My Mom Return to Childhood",,"My brilliant mom was diagnosed with dementia when my son was a baby. For a time, their interests and abilities matched exactly.","This story was originally published on Jan. 14, 2020 in NYT Parenting.","[{'name': 'subject', 'value': 'Parenting', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Memory', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Frontotemporal Dementia', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Families and Family Life', 'rank': 7, 'major': 'N'}]"
12,dementia,2021,The New York Times,"She Bought a Truck on eBay, Then Forgot It. A Dementia Diagnosis Came Later.",Financial Mistakes May Indicate Dementia,"Impulsive purchases, out-of-control spending: These behaviors can be early signs of Alzheimer’s disease or other cognitive decline.","After Maria Turner’s minivan was totaled in an accident a dozen years ago, she grew impatient waiting for the insurance company to process the claim.","[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Personal Finances', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Memory', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Chronic Traumatic Encephalopathy', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Credit Scores', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Retirement', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Frontotemporal Dementia', 'rank': 9, 'major': 'N'}]"
