abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,print_section,print_page,slideshow_credits,subsection_name,query_consulta
"In the past year, some half-dozen cognitive fitness software makers have aimed at aging consumers eager to keep their mental edge.",https://www.nytimes.com/2007/08/26/business/yourmoney/26games.html,"In the past year, some half-dozen cognitive fitness software makers have aimed at aging consumers eager to keep their mental edge.","WHEN Charline and Dan Truitt of Irvine, Calif., owners of a company that audits mortgage lenders, started misplacing their keys and blanking on names, they made all the usual jokes about senior moments. But it was no laughing matter when Mrs. Truitt, 62, started forgetting client appointments. ",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/08/26/business/26spending.xlarge1.jpg', 'height': 350, 'width': 600, 'legacy': {'xlarge': 'images/2007/08/26/business/26spending.xlarge1.jpg', 'xlargewidth': 600, 'xlargeheight': 350}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/08/26/business/26spending.xlarge1.jpg', 'height': 350, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/08/26/business/26spending.751.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2007/08/26/business/26spending.751.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Brain', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'AGED', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Memory', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Computers and the Internet', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 5, 'major': 'N'}]",2007-08-26T04:00:00+0000,article,SundayBusiness,Business Day,News,nyt://article/5f7be00a-fb98-58d6-b3d7-284bba7e1dc4,1188,nyt://article/5f7be00a-fb98-58d6-b3d7-284bba7e1dc4,"Calisthenics for the Older Mind, on the Home Computer",Spending,,"Calisthenics for the Older Mind, on the Home Computer",,,,By CHRISTINE LARSON,"[{'firstname': 'Christine', 'middlename': None, 'lastname': 'LARSON', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,3,5,,Your Money,dementia
"A letter written by Brooke Astor’s only son, Anthony D. Marshall, in 2000 expressed serious concerns about his mother’s mental state.",https://www.nytimes.com/2007/09/10/nyregion/10astor.html,"A letter written by Brooke Astor’s only son, Anthony D. Marshall, in 2000 expressed serious concerns about his mother’s mental state.",The question of whether Brooke Astor was mentally competent when she signed her last will in 2002 — and when she later changed it — has been at the core of a legal battle over her estate since she died last month at 105.,The New York Times,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/09/10/nyregion/10astor.190.jpg', 'height': 280, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}]","[{'name': 'subject', 'value': 'Wills and Estates', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Astor, Brooke', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Marshall, Anthony D', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Families and Family Life', 'rank': 4, 'major': 'N'}]",2007-09-10T04:00:00+0000,article,Metro,New York,News,nyt://article/f583d579-cf7e-5b7e-9e08-9bea10640c80,1298,nyt://article/f583d579-cf7e-5b7e-9e08-9bea10640c80,Letter Surfaces in Fight Over Mrs. Astor’s Will,,,Astor’s Mental State Questioned Before She Signed Final Will,,,,By Serge F. Kovaleski,"[{'firstname': 'Serge', 'middlename': 'F.', 'lastname': 'Kovaleski', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,B,1,,,dementia
"If peace lies in acceptance, then no one told the filmmaker Daniel Sánchez Arévalo, whose first feature portrays repressed longing with been-there, done-that assurance.",https://www.nytimes.com/2007/10/19/movies/19roun-003.html,"If peace lies in acceptance, then no one told the filmmaker Daniel Sánchez Arévalo, whose first feature portrays repressed longing with been-there, done-that assurance."," If peace lies in acceptance, then no one told the Spanish filmmaker Daniel Sánchez Arévalo, whose first feature, “DarkBlueAlmostBlack,” portrays repressed longing with been-there, done-that assurance.",The New York Times,[],"[{'name': 'subject', 'value': 'MOTION PICTURES', 'rank': 1, 'major': 'N'}]",2007-10-19T04:00:00+0000,article,Weekend,Movies,Review,nyt://article/ea6fdf7d-f9d2-53d9-91b5-10ae0c696d1e,299,nyt://article/ea6fdf7d-f9d2-53d9-91b5-10ae0c696d1e,Trapped by Circumstance,Movie Review | 'DarkBlueAlmostBlack',,,,,,By Jeannette Catsoulis,"[{'firstname': 'Jeannette', 'middlename': None, 'lastname': 'Catsoulis', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,E,18,,,dementia
"When a degenerative illness strikes, a husband leaves but never goes away.",https://www.nytimes.com/2007/06/24/magazine/24lives-t.html,"When a degenerative illness strikes, a husband leaves but never goes away.","During the two years leading up to his diagnosis, my husband, a highly respected physician, struggled to communicate and complete work, left me in doubt about his truthfulness, accumulated debt I was unaware of and wrote a series of notes that I found bizarre and degrading. Yet he often seemed so loving and well. I wondered if the insanity began with me.",The New York Times,"[{'rank': 0, 'subtype': 'wide', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/06/19/magazine/brain_wide2.jpg', 'height': 126, 'width': 190, 'legacy': {'widewidth': 190, 'wideheight': 126, 'wide': 'images/2007/06/19/magazine/brain_wide2.jpg'}, 'subType': 'wide', 'crop_name': 'thumbWide'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/06/19/magazine/24lives190a.jpg', 'height': 236, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/06/19/magazine/24lives75.1.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2007/06/19/magazine/24lives75.1.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Mental Health and Disorders', 'rank': 1, 'major': 'N'}]",2007-06-24T04:00:00+0000,article,Magazine,Magazine,News,nyt://article/70a90a41-ef0e-50c7-a46e-df2e142946ad,787,nyt://article/70a90a41-ef0e-50c7-a46e-df2e142946ad,Diminishing Returns,Lives,,Diminishing Returns,,,,By Katherine Nichols,"[{'firstname': 'Katherine', 'middlename': None, 'lastname': 'Nichols', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,,dementia
Notable research studies now enrolling patients.,https://www.nytimes.com/ref/health/healthguide/esn-alzheimers-trials.html,Notable research studies now enrolling patients.,"Government agencies, universities, and corporations frequently enroll patients in studies designed to test the effectiveness of new drugs, procedures and medical devices. Participants may benefit by gaining access to experimental therapies, and they make an important contribution to scientific research. For more information, please visit ClinicalTrials.gov, a service of the National Institutes of Health.",The New York Times,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/08/28/health/clinicaltrialsfinal190.jpg', 'height': 278, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}]","[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}]",2007-08-29T04:00:00+0000,article,Science,Health,News,nyt://article/266c73f7-22b7-52cf-aa18-c7be57819f8a,343,nyt://article/266c73f7-22b7-52cf-aa18-c7be57819f8a,Selected Studies: Alzheimer's Disease,Clinical Trials,,Selected Studies: Alzheimer’s Disease,,,,,[],,,,,Health Guide,dementia
The physician Oliver Sacks's latest book focuses on people afflicted with strange musical disorders or powers — “musical misalignments” that affect their professional and daily lives.,https://www.nytimes.com/2007/11/20/books/20kaku.html,The physician Oliver Sacks's latest book focuses on people afflicted with strange musical disorders or powers — “musical misalignments” that affect their professional and daily lives.,"In books like “The Man Who Mistook His Wife for a Hat” and “An Anthropologist on Mars,” the physician Oliver Sacks has given us some compelling and deeply moving portraits of patients in predicaments so odd, so vexing, so metaphysically curious that they read like something out of a tale by Borges or Calvino.",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/11/20/arts/oliver-sacks-600.jpg', 'height': 358, 'width': 600, 'legacy': {'xlarge': 'images/2007/11/20/arts/oliver-sacks-600.jpg', 'xlargewidth': 600, 'xlargeheight': 358}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/11/20/arts/oliver-sacks-600.jpg', 'height': 358, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/11/20/arts/oliver-sacks-395.jpg', 'height': 236, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/11/20/arts/oliver-sacks-75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2007/11/20/arts/oliver-sacks-75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'persons', 'value': 'Sacks, Oliver', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Books and Literature', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Music', 'rank': 3, 'major': 'N'}]",2007-11-20T05:00:00+0000,article,Culture,Books,Review,nyt://article/66ae7c35-335b-569c-b650-881eff8950ad,842,nyt://article/66ae7c35-335b-569c-b650-881eff8950ad,Power to Soothe the Savage Breast and Animate the Hemispheres,Books of The Times,,Power to Soothe the Savage Breast and Animate the Hemispheres,,,,By Michiko Kakutani,"[{'firstname': 'Michiko', 'middlename': None, 'lastname': 'Kakutani', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,E,1,,,dementia
Douglas Holmes was a noted social psychologist who spent his career investigating means of improving social services for people.,https://www.nytimes.com/2007/05/25/nyregion/25holmes.html,Douglas Holmes was a noted social psychologist who spent his career investigating means of improving social services for people.,"Douglas Holmes, a noted social psychologist who spent his career investigating means of improving social services for people at both ends of the life cycle  children and the elderly  died on Wednesday at his home in Weston, Conn. He was 73 and also had a home in Manhattan.",The New York Times,[],"[{'name': 'subject', 'value': 'AGED', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Psychology and Psychologists', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 3, 'major': 'N'}]",2007-05-25T04:00:00+0000,article,Metro,New York,Obituary (Obit),nyt://article/c91a0a6b-f33d-5c7a-8531-4a1470dda6ab,335,nyt://article/c91a0a6b-f33d-5c7a-8531-4a1470dda6ab,"Douglas Holmes, Researcher Best Known for Work on Aging, Dies at 73 ",,,"Douglas Holmes, Researcher, 73; Best Known for Work on Aging",,,,By Margalit Fox,"[{'firstname': 'Margalit', 'middlename': None, 'lastname': 'Fox', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,B,7,,,dementia
"CRANSTON, Rhode Island — Behind the barbed wire and thick walls of the state mental hospital here are two patients who have not been allowed to live in the outside world for 20 years. Both were found not guilty of murder by reason of insanity.",https://www.nytimes.com/2007/06/19/world/americas/19iht-vote.1.6204706.html,,"CRANSTON, Rhode Island — Behind the barbed wire and thick walls of the state mental hospital here are two patients who have not been allowed to live in the outside world for 20 years. Both were found not guilty of murder by reason of insanity.",International Herald Tribune,[],[],2007-06-19T05:00:00+0000,article,IHT News,World,News,nyt://article/906cd3ce-d732-55dd-af6e-43108b3924a0,905,nyt://article/906cd3ce-d732-55dd-af6e-43108b3924a0,U.S. states are re-evaluating who is unfit to vote,,,U.S. states are re-evaluating who is unfit to vote,,,,By Pam Belluck,"[{'firstname': 'Pam', 'middlename': None, 'lastname': 'Belluck', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,Americas,dementia
"Daniel L. Vasella, chief executive of Novartis, discusses the challenges facing the health care system.",https://www.nytimes.com/2007/09/08/business/08interview.html,"Daniel L. Vasella, chief executive of Novartis, discusses the challenges facing the health care system.","Daniel L. Vasella, chief executive of Novartis, the $39 billion pharmaceutical giant based in Switzerland, says that even though Americans have made progress in curing some diseases, they face a major increase in obesity- and aging-related diseases. Mr. Vasella recently discussed these challenges and criticized the Food and Drug Administration in the United States for failing to act more quickly to approve new drugs. ",The New York Times,[],"[{'name': 'organizations', 'value': 'NOVARTIS', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Drugs (Pharmaceuticals)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Health Insurance and Managed Care', 'rank': 4, 'major': 'N'}]",2007-09-08T04:00:00+0000,article,Business,Business Day,Interview,nyt://article/6a372234-993c-5af6-9f20-027c3d65dd4d,985,nyt://article/6a372234-993c-5af6-9f20-027c3d65dd4d,A Drug Maker’s Views of What Ails Health Care,Saturday Interview,,A Drug Maker’s Views of What Ails Health Care,,,,By WILLIAM HOLSTEIN,"[{'firstname': 'William', 'middlename': None, 'lastname': 'HOLSTEIN', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,C,2,,,dementia
NEW YORK — A drug long used as an antihistamine in Russia is showing what some scientists characterize as surprisingly strong results in treating Alzheimer's disease.,https://www.nytimes.com/2007/06/11/business/worldbusiness/11iht-drug.1.6086859.html,,NEW YORK — A drug long used as an antihistamine in Russia is showing what some scientists characterize as surprisingly strong results in treating Alzheimer's disease.,International Herald Tribune,[],[],2007-06-11T05:00:00+0000,article,IHT News,Business Day,News,nyt://article/fcbf4463-f4e5-5ae5-b6a2-8e3aeba403c5,461,nyt://article/fcbf4463-f4e5-5ae5-b6a2-8e3aeba403c5,Russian drug shows promise for Alzheimer's,,,Russian drug shows promise for Alzheimer's,,,,By Andrew Pollack,"[{'firstname': 'Andrew', 'middlename': None, 'lastname': 'Pollack', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,International Business,dementia
"Dimebon, a drug long used as an antihistamine in Russia, is showing what some say are surprisingly strong results in treating Alzheimer’s disease.",https://www.nytimes.com/2007/06/11/business/11drug.html,"Dimebon, a drug long used as an antihistamine in Russia, is showing what some say are surprisingly strong results in treating Alzheimer’s disease.",A drug long used as an antihistamine in Russia is showing what some scientists characterize as surprisingly strong results in treating Alzheimer’s disease. ,The New York Times,[],"[{'name': 'glocations', 'value': 'Russia', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Tests and Testing', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': ""ALZHEIMER'S ASSN"", 'rank': 4, 'major': 'N'}]",2007-06-11T04:00:00+0000,article,Business,Business Day,News,nyt://article/207dfa6e-611b-59a8-9552-e1e19db0c251,459,nyt://article/207dfa6e-611b-59a8-9552-e1e19db0c251,Antihistamine Shows Promise in Treating Alzheimer’s,,,Antihistamine Shows Promise in Treating Alzheimer’s,,,,By Andrew Pollack,"[{'firstname': 'Andrew', 'middlename': None, 'lastname': 'Pollack', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,C,2,,,dementia
The irony of players being less interested in being protected than the people charged to protect them is just one of the challenges facing the N.F.L. as it deals with player concussions.,https://www.nytimes.com/2007/06/20/sports/football/20concussions.html,The irony of players being less interested in being protected than the people charged to protect them is just one of the challenges facing the N.F.L. as it deals with player concussions.,"CHICAGO, June 19  The National Football League gathered team medical personnel, members of its concussion research committee and several outside critics for a summit Tuesday that was roundly complimented as a candid discussion regarding brain injuries, specifically the decision on when a player who sustains a concussion may safely return to action.",The New York Times,[],"[{'name': 'persons', 'value': 'Conwell, Ernie', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Goodell, Roger', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Accidents and Safety', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Football', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Schwarz, Alan', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'National Football League', 'rank': 7, 'major': 'N'}]",2007-06-20T04:00:00+0000,article,Sports,Sports,News,nyt://article/e9777973-bc30-5c3d-8592-3a0639fac1b7,1005,nyt://article/e9777973-bc30-5c3d-8592-3a0639fac1b7,Player Silence on Concussions May Block N.F.L. Guidelines,,,Player Silence on Concussions May Block N.F.L. Guidelines,,,,By Alan Schwarz,"[{'firstname': 'Alan', 'middlename': None, 'lastname': 'Schwarz', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,D,1,,Pro Football,dementia
Measuring how deeply people inhale could alert doctors to the onset of neurodegenerative disorders like Alzheimer’s and Parkinson’s. ,https://www.nytimes.com/2007/08/14/health/14snif.html,Measuring how deeply people inhale could alert doctors to the onset of neurodegenerative disorders like Alzheimer’s and Parkinson’s. ,"Seven years ago, Robert Gesteland, a biologist at the University of Cincinnati, and his colleague Robert Frank, a psychologist, decided to tackle a perplexing topic: why some people are more open to trying unfamiliar foods. Suspecting that picky eaters might be more attuned to strong smells, they set about trying to quantify this.",The New York Times,[],"[{'name': 'subject', 'value': 'Smell', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': ""Parkinson's Disease"", 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Tests and Testing', 'rank': 5, 'major': 'N'}]",2007-08-14T04:00:00+0000,article,Science,Health,News,nyt://article/86cfe208-316c-56a4-9bc6-f80bd8c763b8,1031,nyt://article/86cfe208-316c-56a4-9bc6-f80bd8c763b8,Sniff Test May Signal Disorders’ Early Stages,,,Sniff Test May Signal Disorders’ Early Stages,,,,By Elizabeth Svoboda,"[{'firstname': 'Elizabeth', 'middlename': None, 'lastname': 'Svoboda', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,F,5,,,dementia
"The early stages of Alzheimer’s disease offer a short period of time to reason, communicate and go about regular life.",https://www.nytimes.com/2007/03/29/health/29alzheimers.html,"The early stages of Alzheimer’s disease offer a short period of time to reason, communicate and go about regular life.","Mary Blake Carver gazes from the cover of a neurology magazine this month, under the headline “I’m Still Here!” She often feels like shouting the message to her friends, her children, her husband. ",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/03/28/us/29alzheimers-600.jpg', 'height': 280, 'width': 600, 'legacy': {'xlarge': 'images/2007/03/28/us/29alzheimers-600.jpg', 'xlargewidth': 600, 'xlargeheight': 280}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/03/28/us/29alzheimers-600.jpg', 'height': 280, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/03/28/us/29alzheimers-395.jpg', 'height': 220, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/03/28/us/29alzheimers-75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2007/03/28/us/29alzheimers-75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'AGED', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': ""ALZHEIMER'S ASSOCIATION"", 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}]",2007-03-29T04:00:00+0000,article,National,Health,News,nyt://article/d282aca7-2d6c-5a3e-a079-476e8ec4c35d,1694,nyt://article/d282aca7-2d6c-5a3e-a079-476e8ec4c35d,Living With Alzheimer’s Before a Window Closes,,,Living With Alzheimer’s Before a Window Closes,,,,By Jane Gross,"[{'firstname': 'Jane', 'middlename': None, 'lastname': 'Gross', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,1,,,dementia
"About 21 percent of calories consumed by Americans over the age of 2 come from beverages, a recent report indicates. ",https://www.nytimes.com/2007/03/27/health/27brody.html,"About 21 percent of calories consumed by Americans over the age of 2 come from beverages, a recent report indicates. ","What worries you most? Decaying teeth, thinning bones, heart disease, stroke, diabetes, dementia, cancer, obesity? Whatever tops your list, you may be surprised to know that all of these health problems are linked to the beverages you drink — or don’t drink. ",The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/03/26/science/0327-sci-brod.450.jpg', 'height': 450, 'width': 322, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/03/26/science/brod.190.jpg', 'height': 266, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/03/26/science/0327-sci-brod.75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2007/03/26/science/0327-sci-brod.75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Tea', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Soft Drinks', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Diet and Nutrition', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Food', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Weight', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Alcoholic Beverages', 'rank': 6, 'major': 'N'}]",2007-03-27T04:00:00+0000,article,Science,Health,News,nyt://article/6c60cae1-1965-5c96-9da4-174d5f909fb8,1150,nyt://article/6c60cae1-1965-5c96-9da4-174d5f909fb8,You Are Also What You Drink,Personal Health,,You Are Also What You Drink,,,,By Jane E. Brody,"[{'firstname': 'Jane', 'middlename': 'E.', 'lastname': 'Brody', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,F,8,,,dementia
"The author’s uncle, who ran a day-old-bread store and lived in squalor, secretly amassed a fortune.",https://www.nytimes.com/2007/11/25/books/review/Mendelson-t-1.html,"The author’s uncle, who ran a day-old-bread store and lived in squalor, secretly amassed a fortune.","Mort Zachter’s small, wry memoir suggests that with the right sort of talent a man can not only rob and ill-treat his nearest and dearest, but also convince them it’s his just prerogative.",The New York Times,[],"[{'name': 'subject', 'value': 'Books and Literature', 'rank': 1, 'major': 'N'}]",2007-11-25T05:00:00+0000,article,BookReview,Books,Review,nyt://article/d16b604a-ee49-5fdc-94c4-1d01c339e415,503,nyt://article/d16b604a-ee49-5fdc-94c4-1d01c339e415,Baker’s Million,,,Baker’s Million,,,,By Anne Mendelson,"[{'firstname': 'Anne', 'middlename': None, 'lastname': 'Mendelson', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,6,27,,Book Review,dementia
"The way to lose weight in 2008 is the same as it has been every other year, because the basics of good nutrition have not changed. ",https://www.nytimes.com/2008/01/01/health/nutrition/01brod.html,"The way to lose weight in 2008 is the same as it has been every other year, because the basics of good nutrition have not changed. ","A desire to turn over a new, more healthful leaf typically accompanies the start of a new year. My mail, for example, has been inundated with diet books, most of which offer yet another gimmick aimed ultimately at getting the gullible reader to eat less and exercise more. ",The New York Times,"[{'rank': 0, 'subtype': 'wide', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/31/science/brody_190.jpg', 'height': 126, 'width': 190, 'legacy': {'widewidth': 190, 'wideheight': 126, 'wide': 'images/2007/12/31/science/brody_190.jpg'}, 'subType': 'wide', 'crop_name': 'thumbWide'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/31/science/brody_650.jpg', 'height': 450, 'width': 379, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/31/science/brody_190.11.jpg', 'height': 231, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/31/science/brody_75775.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2007/12/31/science/brody_75775.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Brain', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Fruit', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'BREAST', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Diet and Nutrition', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Vegetables', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Weight', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Nursing of Infants', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Cancer', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'Vitamins', 'rank': 11, 'major': 'N'}]",2008-01-01T05:00:00+0000,article,Science,Health,News,nyt://article/02f940ed-3cb3-54da-b494-5e8ffcff1370,1170,nyt://article/02f940ed-3cb3-54da-b494-5e8ffcff1370,No Gimmicks: Eat Less and Exercise More,Personal Health,,No Gimmicks: Eat Less and Exercise More,,,,By Jane E. Brody,"[{'firstname': 'Jane', 'middlename': 'E.', 'lastname': 'Brody', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,F,7,,Fitness & Nutrition,dementia
