abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,print_section,print_page,subsection_name,query_consulta
"CHARLESTON, South Carolina — The most striking questions in the YouTube Democratic presidential debate were the ones about sick people. Two brothers from Davenport, Iowa, submitted a video of themselves feeding a parent with Alzheimer's and asking, ""What are you going to do to fight this disease now?"" A 36-year-old Long Island woman who said she hoped ""to be a future breast cancer survivor"" removed a wig to reveal a bald head and asked, ""What would you as president do to make low-cost or free preventive medicine available for everybody in this country?""",https://www.nytimes.com/2007/07/25/opinion/25iht-edacohen.1.6823393.html,,"CHARLESTON, South Carolina — The most striking questions in the YouTube Democratic presidential debate were the ones about sick people. Two brothers from Davenport, Iowa, submitted a video of themselves feeding a parent with Alzheimer's and asking, ""What are you going to do to fight this disease now?"" A 36-year-old Long Island woman who said she hoped ""to be a future breast cancer survivor"" removed a wig to reveal a bald head and asked, ""What would you as president do to make low-cost or free preventive medicine available for everybody in this country?""",International Herald Tribune,[],[],2007-07-25T05:00:00+0000,article,IHT News,Opinion,News,nyt://article/2b8d7770-a00f-55ea-93f2-b36d6c0e0fc9,832,nyt://article/2b8d7770-a00f-55ea-93f2-b36d6c0e0fc9,Mixing it up with YouTube,,,Mixing it up with YouTube,,,,By Adam Cohen,"[{'firstname': 'Adam', 'middlename': None, 'lastname': 'Cohen', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,Alzheimer
Texas Tech hopes a chess institute will bring it better students.,https://thelede.blogs.nytimes.com/2007/05/25/an-opening-gambit-with-an-odd-acronym/,Texas Tech hopes a chess institute will bring it better students.,"When the legendary basketball coach Bobby Knight was pushed out of Indiana University, Texas Tech University in Lubbock jumped to welcome him, in hopes of raising the school’s national profile. Perhaps that move did not reap enough public attention (or maybe it was not the right kind), because the school is now trying another visibility-building leap in a different kind of competitive endeavor: Chess. ",The New York Times,[],[],2007-05-25T22:04:38+0000,article,,Blogs,News,nyt://article/a59a45f8-f9a4-57a4-a6ce-4e4858b4f5d4,381,nyt://article/a59a45f8-f9a4-57a4-a6ce-4e4858b4f5d4,An Opening Gambit With an Odd Acronym,The Lede,,,,,,By Dylan Mcclain,"[{'firstname': 'Dylan', 'middlename': None, 'lastname': 'Mcclain', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,Alzheimer
Douglas Holmes was a noted social psychologist who spent his career investigating means of improving social services for people.,https://www.nytimes.com/2007/05/25/nyregion/25holmes.html,Douglas Holmes was a noted social psychologist who spent his career investigating means of improving social services for people.,"Douglas Holmes, a noted social psychologist who spent his career investigating means of improving social services for people at both ends of the life cycle  children and the elderly  died on Wednesday at his home in Weston, Conn. He was 73 and also had a home in Manhattan.",The New York Times,[],"[{'name': 'subject', 'value': 'AGED', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Psychology and Psychologists', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 3, 'major': 'N'}]",2007-05-25T04:00:00+0000,article,Metro,New York,Obituary (Obit),nyt://article/c91a0a6b-f33d-5c7a-8531-4a1470dda6ab,335,nyt://article/c91a0a6b-f33d-5c7a-8531-4a1470dda6ab,"Douglas Holmes, Researcher Best Known for Work on Aging, Dies at 73 ",,,"Douglas Holmes, Researcher, 73; Best Known for Work on Aging",,,,By Margalit Fox,"[{'firstname': 'Margalit', 'middlename': None, 'lastname': 'Fox', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,B,7,,Alzheimer
Breast cancer awareness doesn’t always translate into facts,https://well.blogs.nytimes.com/2007/10/01/despite-awareness-campaigns-breast-cancer-myths-linger/,Breast cancer awareness doesn’t always translate into facts,"For the next four weeks we will be awash in a sea of pink as women’s groups promote October as breast cancer awareness month. But while awareness is high, many women still have some key facts about breast cancer all wrong.",The New York Times,[],[],2007-10-01T21:03:40+0000,article,Science,Health,News,nyt://article/09aa74c0-c747-5545-b448-07dfd13cb7c6,375,nyt://article/09aa74c0-c747-5545-b448-07dfd13cb7c6,"Despite Awareness Campaigns, Breast Cancer Myths Linger",Well,,,,,,By Tara Parker-Pope,"[{'firstname': 'Tara', 'middlename': None, 'lastname': 'Parker-Pope', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,Alzheimer
Columbia University says it won’t ask the state to use eminent domain to evict residents of 132 apartments who live in the 17-acre area of Harlem that the university seeks to expand into.,https://cityroom.blogs.nytimes.com/2007/07/12/columbia-will-not-seek-eminent-domain-to-oust-tenants/,Columbia University says it won’t ask the state to use eminent domain to evict residents of 132 apartments who live in the 17-acre area of Harlem that the university seeks to expand into.,"Columbia University, which is seeking the city’s support for a major northward expansion of its Morningside Heights campus, announced today that it will not ask the state to use eminent domain to evict residents of 132 apartments in the 17-acre area of Harlem that it wants to move into. ",The New York Times,[],[],2007-07-12T21:28:21+0000,article,Metro,New York,News,nyt://article/96d1485a-8c71-5d30-93a8-62ffb6d77d52,375,nyt://article/96d1485a-8c71-5d30-93a8-62ffb6d77d52,Columbia Will Not Seek Eminent Domain to Oust Tenants,City Room,,,,,,By Sewell Chan,"[{'firstname': 'Sewell', 'middlename': None, 'lastname': 'Chan', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,Alzheimer
"Daniel L. Vasella, chief executive of Novartis, discusses the challenges facing the health care system.",https://www.nytimes.com/2007/09/08/business/08interview.html,"Daniel L. Vasella, chief executive of Novartis, discusses the challenges facing the health care system.","Daniel L. Vasella, chief executive of Novartis, the $39 billion pharmaceutical giant based in Switzerland, says that even though Americans have made progress in curing some diseases, they face a major increase in obesity- and aging-related diseases. Mr. Vasella recently discussed these challenges and criticized the Food and Drug Administration in the United States for failing to act more quickly to approve new drugs. ",The New York Times,[],"[{'name': 'organizations', 'value': 'NOVARTIS', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Drugs (Pharmaceuticals)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Health Insurance and Managed Care', 'rank': 4, 'major': 'N'}]",2007-09-08T04:00:00+0000,article,Business,Business Day,Interview,nyt://article/6a372234-993c-5af6-9f20-027c3d65dd4d,985,nyt://article/6a372234-993c-5af6-9f20-027c3d65dd4d,A Drug Maker’s Views of What Ails Health Care,Saturday Interview,,A Drug Maker’s Views of What Ails Health Care,,,,By WILLIAM HOLSTEIN,"[{'firstname': 'William', 'middlename': None, 'lastname': 'HOLSTEIN', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,C,2,,Alzheimer
"CAMBRIDGE, Massachusetts — Short of a Nobel Prize, there are few scientific honors that the biologist Susan Lindquist has not won.",https://www.nytimes.com/2007/04/25/health/25iht-snpark.1.5431809.html,,"CAMBRIDGE, Massachusetts — Short of a Nobel Prize, there are few scientific honors that the biologist Susan Lindquist has not won.",International Herald Tribune,[],[],2007-04-25T05:00:00+0000,article,IHT News,Health,News,nyt://article/c762862c-9d88-5f71-ada8-50116701ceff,933,nyt://article/c762862c-9d88-5f71-ada8-50116701ceff,"Susan Lindquist: Peering into the causes, and possible cures, of diseases like Parkinson's",,,"Susan Lindquist: Peering into the causes, and possible cures, of diseases like Parkinson's",,,,By Claudia Dreifus,"[{'firstname': 'Claudia', 'middlename': None, 'lastname': 'Dreifus', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,Alzheimer
Warren Alpert was an entrepreneur who sold sheets and towels from his father’s truck at age 13 and who two months ago donated $100 million to Brown University.,https://www.nytimes.com/2007/03/10/obituaries/10alpert.html,Warren Alpert was an entrepreneur who sold sheets and towels from his father’s truck at age 13 and who two months ago donated $100 million to Brown University.,"Warren Alpert, an entrepreneur who sold sheets and towels from his father’s truck at age 13 and who two months ago donated $100 million to Brown University, died on March 3 in Manhattan. He was 86 and lived in Manhattan.",The New York Times,[],"[{'name': 'subject', 'value': 'Education and Schools', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Alpert, Warren', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 3, 'major': 'N'}]",2007-03-10T05:00:00+0000,article,National,Obituaries,Obituary (Obit),nyt://article/b76005a9-03dc-56b4-baf4-fd4ff1d374f3,406,nyt://article/b76005a9-03dc-56b4-baf4-fd4ff1d374f3,"Warren Alpert, 86, Entrepreneur, Is Dead",,,"Warren Alpert, 86, Entrepreneur, Is Dead",,,,By Dennis Hevesi,"[{'firstname': 'Dennis', 'middlename': None, 'lastname': 'Hevesi', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,C,10,,Alzheimer
"John Firor, an environmental scholar and former director of the National Center for Atmospheric Research who was an early voice linking climate change and human activity, died Nov. 5 in Pullman, Washington. He was 80.",https://www.nytimes.com/2007/11/12/world/americas/12iht-obits.1.8294822.html,,"John Firor, an environmental scholar and former director of the National Center for Atmospheric Research who was an early voice linking climate change and human activity, died Nov. 5 in Pullman, Washington. He was 80.",International Herald Tribune,[],[],2007-11-12T05:00:00+0000,article,IHT News,World,News,nyt://article/363c2021-af76-5d2f-9280-70195c11f468,387,nyt://article/363c2021-af76-5d2f-9280-70195c11f468,"John Firor, author and  environmental scholar, dies at 80",,,"John Firor, author and  environmental scholar, dies at 80",,,,By Alison J. Peterson,"[{'firstname': 'Alison', 'middlename': 'J.', 'lastname': 'Peterson', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,Americas,Alzheimer
"Mrs. Sainer created programs to keep older people active, educate them on health issues, provide them with meals on weekends and help their caregivers.",https://www.nytimes.com/2007/06/08/nyregion/08sainer.html,"Mrs. Sainer created programs to keep older people active, educate them on health issues, provide them with meals on weekends and help their caregivers.","Janet S. Sainer, who as commissioner of New York City’s Department for the Aging in the 1980s created programs to keep older people active, educate them on health issues, provide them with meals on weekends and help their caregivers, died Monday while attending a training conference on the elderly in Denver. She was 88 and lived in Manhattan.",The New York Times,[],"[{'name': 'subject', 'value': 'AGED', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Citymeals-on-Wheels', 'rank': 3, 'major': 'N'}]",2007-06-08T04:00:00+0000,article,Metro,New York,Obituary (Obit),nyt://article/b86573a2-ade3-58e9-a7de-4db82d41073f,399,nyt://article/b86573a2-ade3-58e9-a7de-4db82d41073f,"Janet S. Sainer, 88, Leader of New York Office for Elderly, Dies",,,"Janet S. Sainer, 88, Leader Of New York Office for Elderly",,,,By Dennis Hevesi,"[{'firstname': 'Dennis', 'middlename': None, 'lastname': 'Hevesi', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,B,7,,Alzheimer
"Firefighters gained the upper hand in efforts to battle a  fire in Malibu that burned 4,700 acres and destroyed about 50 homes.",https://www.nytimes.com/2007/11/25/us/25cnd-fire.html,"Firefighters gained the upper hand in efforts to battle a  fire in Malibu that burned 4,700 acres and destroyed about 50 homes.","AGOURA HILLS, Calif., Nov. 25 — Fierce Santa Ana winds that blew a destructive blaze through Malibu on Saturday died down today, allowing firefighters to gain the upper hand in efforts to battle the destructive fire, a month after wildfires destroyed large parts of Southern California.",The New York Times,[],[],2007-11-25T05:00:00+0000,article,ContinuousNews,U.S.,News,nyt://article/a4e3e547-ec43-5f30-806b-fa5fa4699431,361,nyt://article/a4e3e547-ec43-5f30-806b-fa5fa4699431,California Fire Eases as Winds Subside,,,Southern California Fire Eases as Winds Subside,,,,By Jordana Lewis,"[{'firstname': 'Jordana', 'middlename': None, 'lastname': 'Lewis', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,Alzheimer
"Joe Girardi turned down the opportunity to become the next manager of the Baltimore Orioles on Thursday, saying it was not in the best interest of his family at this time.",https://www.nytimes.com/2007/06/22/sports/baseball/22girardi.html,"Joe Girardi turned down the opportunity to become the next manager of the Baltimore Orioles on Thursday, saying it was not in the best interest of his family at this time.",Joe Girardi has turned down an opportunity to become the next manager of the Baltimore Orioles. Girardi told the team that accepting the position would not be conducive with his family situation.,The New York Times,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/06/22/sports/22girardi.190.1.jpg', 'height': 240, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/06/22/sports/22girardi.75.1.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2007/06/22/sports/22girardi.75.1.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'organizations', 'value': 'Florida Marlins', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Baltimore Orioles', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Girardi, Joe', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'AMERICAN LEAGUE', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'New York Yankees', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Baseball', 'rank': 6, 'major': 'N'}]",2007-06-22T04:00:00+0000,article,Sports,Sports,News,nyt://article/10591cd1-f0fb-59d1-8f8e-0ad8da9f3905,417,nyt://article/10591cd1-f0fb-59d1-8f8e-0ad8da9f3905,Girardi Rejects Shot at Managing the Orioles,,,Girardi Rejects Shot At Managing The Orioles,,,,By Jack Curry,"[{'firstname': 'Jack', 'middlename': None, 'lastname': 'Curry', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,D,3,Baseball,Alzheimer
The search for stem cells without all the embryonic baggage.,https://thelede.blogs.nytimes.com/2007/06/08/longing-for-a-third-way-on-stem-cells/,The search for stem cells without all the embryonic baggage.,"The last two days have brought two important headlines related to stem-cell research: that the Congress is once more trying to ease restrictions on federal financing for embryonic stem cells, and that researchers have made important progress on ways to turn ordinary cells into stem cells.",The New York Times,[],[],2007-06-08T13:32:20+0000,article,,Blogs,News,nyt://article/147d0d06-8c96-5e1e-b429-5d91cc5d3d4e,473,nyt://article/147d0d06-8c96-5e1e-b429-5d91cc5d3d4e,Longing For a Third Way on Stem Cells,The Lede,,,,,,By Patrick J. Lyons,"[{'firstname': 'Patrick', 'middlename': 'J.', 'lastname': 'Lyons', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,Alzheimer
"Tom O’Horgan, the director who in 1971 had four Broadway shows running simultaneously, has left New York and is putting everything in his loft up for sale.",https://www.nytimes.com/2007/11/01/theater/01trove.html,"Tom O’Horgan, the director who in 1971 had four Broadway shows running simultaneously, has left New York and is putting everything in his loft up for sale.",Last week Tom O’Horgan did something he never thought he’d do. He left New York.,The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/11/01/arts/Horgan650.jpg', 'height': 434, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/11/01/arts/Horg190.jpg', 'height': 240, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/11/01/arts/Horgam390.jpg', 'height': 220, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/11/01/arts/Horgan75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2007/11/01/arts/Horgan75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'persons', 'value': ""O'Horgan, Tom"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Housing', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Theater', 'rank': 3, 'major': 'N'}]",2007-11-01T04:00:00+0000,article,Culture,Theater,News,nyt://article/fcf19570-70ae-5784-a531-cc998f398aab,1020,nyt://article/fcf19570-70ae-5784-a531-cc998f398aab,For Sale: Odds and Ends of a Life in the Theater,,,For Sale: Odds and Ends Of a Life in the Theater,,,,By Campbell Robertson,"[{'firstname': 'Campbell', 'middlename': None, 'lastname': 'Robertson', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,E,1,,Alzheimer
"Ringo, an undersized center who played 15 seasons in the National Football League, was elected to the Pro Football Hall of Fame in 1981.",https://www.nytimes.com/2007/11/21/sports/football/21ringo.html,"Ringo, an undersized center who played 15 seasons in the National Football League, was elected to the Pro Football Hall of Fame in 1981.","Jim Ringo, an undersized center who played 15 seasons in the National Football League and was elected to the Pro Football Hall of Fame in 1981, died Monday in Chesapeake, Va. He was 75.",The New York Times,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/11/21/sports/21ringo.1.190.jpg', 'height': 240, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/11/21/sports/21ringo.1.75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2007/11/21/sports/21ringo.1.75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Halls of Fame', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Football', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Ringo, Jim', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Athletics and Sports', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 5, 'major': 'N'}]",2007-11-21T05:00:00+0000,article,Sports,Sports,Obituary (Obit),nyt://article/7e36ce75-523d-510b-b2c9-0632fe4fc910,414,nyt://article/7e36ce75-523d-510b-b2c9-0632fe4fc910,"Jim Ringo, Pro Football Hall of Fame Center, Dies at 75",,,"Jim Ringo, 75, Pro Football Hall of Fame Center",,,,By Frank Litsky,"[{'firstname': 'Frank', 'middlename': None, 'lastname': 'Litsky', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,25,Pro Football,Alzheimer
Dr. Jack Kevorkian — a k a “Doctor Death” for helping chronically ill and terminally ill patients commit suicide — has emerged from prison as deluded and unrepentant as ever.,https://www.nytimes.com/2007/06/05/opinion/05tue3.html,Dr. Jack Kevorkian — a k a “Doctor Death” for helping chronically ill and terminally ill patients commit suicide — has emerged from prison as deluded and unrepentant as ever.,"Dr. Jack Kevorkian  a k a “Doctor Death” for helping chronically ill and terminally ill patients commit suicide  has emerged from prison as deluded and unrepentant as ever. Brushing aside criticism by other supporters of medically assisted suicide that his tactics were reckless and harmful to their cause, Dr. Kevorkian asserted: “I did it right. I didn’t care what they did or didn’t do. When I’m going to do it, I’m going to do it right.”",The New York Times,[],"[{'name': 'subject', 'value': 'Death and Dying', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Kevorkian, Jack', 'rank': 2, 'major': 'N'}]",2007-06-05T04:00:00+0000,article,Editorial,Opinion,Editorial,nyt://article/57c22117-9941-5f6e-8c51-2f0517d56d6e,437,nyt://article/57c22117-9941-5f6e-8c51-2f0517d56d6e,Dr. Kevorkian’s Wrong Way,Editorial,,Dr. Kevorkian&#8217;s Wrong Way,,,,,[],,A,22,,Alzheimer
"Brant Parker was a co-creator of “The Wizard of Id,” an award-winning comic strip that is set in medieval times and has poked fun at politics and cultural follies for more than 40 years.",https://www.nytimes.com/2007/04/18/arts/design/18parker.html,"Brant Parker was a co-creator of “The Wizard of Id,” an award-winning comic strip that is set in medieval times and has poked fun at politics and cultural follies for more than 40 years.","Brant Parker, a co-creator of “The Wizard of Id,” an award-winning comic strip that is set in medieval times and has poked fun at politics and cultural follies for more than 40 years, died on Sunday at his home in Lynchburg, Va. He was 86.",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/04/18/arts/18parker_CA0.600.jpg', 'height': 185, 'width': 600, 'legacy': {'xlarge': 'images/2007/04/18/arts/18parker_CA0.600.jpg', 'xlargewidth': 600, 'xlargeheight': 185}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/04/18/arts/18parker_CA0.600.jpg', 'height': 185, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/04/18/arts/18parker_CA0.75.75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2007/04/18/arts/18parker_CA0.75.75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Cartoons and Cartoonists', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Comic Books and Strips', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 3, 'major': 'N'}]",2007-04-18T04:00:00+0000,article,Culture,Arts,Obituary (Obit),nyt://article/df0c40cd-c515-554d-bd12-eeacb1cf1f55,438,nyt://article/df0c40cd-c515-554d-bd12-eeacb1cf1f55,"Brant Parker, 86, Co-Creator of ‘The Wizard of Id’ Comics, Dies",,,"Brant Parker, 86, Co-Creator of &#8216;The Wizard of Id&#8217; Comics",,,,By Dennis Hevesi,"[{'firstname': 'Dennis', 'middlename': None, 'lastname': 'Hevesi', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,C,12,Art & Design,Alzheimer
The Bagger scans the SAG nominations and says a thing or two about this and that.,https://carpetbagger.blogs.nytimes.com/2007/12/20/thrills-chills-and-big-old-curve-balls/,The Bagger scans the SAG nominations and says a thing or two about this and that.,"The SAG awards have landed, bringing with them some interesting suprises.",The New York Times,[],[],2007-12-20T16:13:47+0000,article,Culture,Arts,News,nyt://article/9285f58b-df82-55fd-9687-527289830eea,519,nyt://article/9285f58b-df82-55fd-9687-527289830eea,"Thrills, Chills and Big Old Curve Balls",Carpetbagger,,,,,,By The Bagger,[],The Bagger,,,,Alzheimer
A sampling of innovations being developed by medical researchers to combat conditions and diseases associated with aging.,https://www.nytimes.com/2007/05/06/magazine/06dialogue-t-1.html,A sampling of innovations being developed by medical researchers to combat conditions and diseases associated with aging.,Here’s a sampling of innovations being developed by medical researchers to combat conditions and diseases associated with aging. Some are close to becoming reality; others are farther out on the horizon. — JOHN GLASSIE,The New York Times,[],"[{'name': 'subject', 'value': 'AGED', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Genetics and Heredity', 'rank': 3, 'major': 'N'}]",2007-05-06T04:00:00+0000,article,Magazine,Magazine,News,nyt://article/b561ef7c-237b-5f6a-b1be-18c883458f31,452,nyt://article/b561ef7c-237b-5f6a-b1be-18c883458f31,New Aging Medicine,,,NEW AGING MEDICINE,,,,By John Glassie,"[{'firstname': 'John', 'middlename': None, 'lastname': 'Glassie', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,Alzheimer
"Philip Booth was a poet known for his explorations of existence and New England in an intense, sparse style.",https://www.nytimes.com/2007/07/09/arts/09booth.html,"Philip Booth was a poet known for his explorations of existence and New England in an intense, sparse style."," Philip Booth, a poet known for his explorations of existence and New England in an intense, sparse style, died on July 2 in Hanover, N.H. He was 81 and had split his time between Hanover and Castine, Me., for many years. ",The New York Times,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/07/09/arts/09booth.190.1.jpg', 'height': 240, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/07/09/arts/09booth.75.1.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2007/07/09/arts/09booth.75.1.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Writing and Writers', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Dartmouth College', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'New England States (US)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Poetry and Poets', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Columbia University', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 6, 'major': 'N'}]",2007-07-09T04:00:00+0000,article,Culture,Arts,Obituary (Obit),nyt://article/b120ec30-2eaa-583d-b739-559d00b9cf73,437,nyt://article/b120ec30-2eaa-583d-b739-559d00b9cf73,"Philip Booth, a Shy Poet Rooted in New England Life, Dead at  81",,,"Philip Booth, 81, a Shy Poet Rooted in New England Life",,,,By Roja Heydarpour,"[{'firstname': 'Roja', 'middlename': None, 'lastname': 'Heydarpour', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,B,5,,Alzheimer
John Edwards said that he would force insurance companies to spend at least 85 percent of the premiums they collect directly on patient care.,https://www.nytimes.com/2007/06/14/us/politics/14cnd-edwards.html,John Edwards said that he would force insurance companies to spend at least 85 percent of the premiums they collect directly on patient care.,"DETROIT, June 14 — John Edwards pressed his signature issue of universal health care coverage today, saying that he would force insurance companies to spend at least 85 percent of the premiums they collect directly on patient care.",The New York Times,[],"[{'name': 'persons', 'value': 'Edwards, John', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Health Insurance and Managed Care', 'rank': 2, 'major': 'N'}]",2007-06-14T04:00:00+0000,article,ContinuousNews,U.S.,News,nyt://article/1b4943c2-1931-55ee-8350-4db1502128c9,442,nyt://article/1b4943c2-1931-55ee-8350-4db1502128c9,Edwards to Press Insurers on Health Care Premiums,,,Edwards to Press Insurers on Health Care Premiums,,,,By Nick Bunkley,"[{'firstname': 'Nick', 'middlename': None, 'lastname': 'Bunkley', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,Politics,Alzheimer
