abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,subsection_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,query_consulta,slideshow_credits
Mr. Pihos helped take the Philadelphia Eagles to two consecutive N.F.L. championships in the 1940s.,https://www.nytimes.com/2011/08/17/sports/football/pete-pihos-87-eagles-hall-of-fame-receiver-is-dead.html,Mr. Pihos helped take the Philadelphia Eagles to two consecutive N.F.L. championships in the 1940s.,"Pete Pihos could do just about anything on a football field. A member of both the College and Pro Football Halls of Fame, he was an outstanding pass-catcher, a powerful runner and a formidable blocker, helping to take the Philadelphia Eagles to two consecutive National Football League championships in the 1940s.",B,17,The New York Times,"[{'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/08/17/sports/PIHOS-obit/PIHOS-obit-jumbo.jpg', 'height': 907, 'width': 466, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/08/17/sports/PIHOS-obit/PIHOS-obit-popup.jpg', 'height': 500, 'width': 257, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/08/17/sports/PIHOS-obit/PIHOS-obit-articleInline.jpg', 'height': 370, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/08/17/sports/PIHOS-obit/PIHOS-obit-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2011/08/17/sports/PIHOS-obit/PIHOS-obit-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Football', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Philadelphia Eagles', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Pihos, Pete', 'rank': 4, 'major': 'N'}]",2011-08-16T21:07:18+0000,article,Sports,Sports,Pro Football,Obituary (Obit),nyt://article/9a6ab32c-71c7-599a-811b-aafffe3dce39,780,nyt://article/9a6ab32c-71c7-599a-811b-aafffe3dce39,"Pete Pihos, Eagles Hall of Fame Receiver, Dies at 87",,,"Pete Pihos, 87, Eagles Hall of Fame Receiver",,,,By Richard Goldstein,"[{'firstname': 'Richard', 'middlename': None, 'lastname': 'Goldstein', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
The United States will continue to fall behind unless it changes old habits and practices.,https://www.nytimes.com/2011/03/02/opinion/02iht-edmoyo02.html,The United States will continue to fall behind unless it changes old habits and practices.,"NEW YORK — Americans who once believed they owned the future now look warily across the Pacific to an emerging China that is building the world's largest network of high-speed trains, taking over the solar industry and producing the highest-scoring students on international tests. ",,,International Herald Tribune,[],"[{'name': 'glocations', 'value': 'China', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'United States International Relations', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'United States Economy', 'rank': 3, 'major': 'N'}]",2011-03-01T13:03:12+0000,article,Editorial,Opinion,,Op-Ed,nyt://article/e68d893c-4968-527d-b01d-fca9ad104207,899,nyt://article/e68d893c-4968-527d-b01d-fca9ad104207,How to Get America Back on Track,I.H.T. Op-Ed Contributor,,How to Get America Back on Track,,,,By Dambisa Moyo,"[{'firstname': 'Dambisa', 'middlename': None, 'lastname': 'Moyo', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
"Mr. Robbins, with Paul Nordoff, designed a brand of music therapy for hard-to-reach children that is now used to help people with autism, stroke and Alzheimer’s disease.",https://www.nytimes.com/2011/12/13/nyregion/clive-robbins-developer-of-influential-method-of-music-therapy-dies-at-84.html,"Mr. Robbins, with Paul Nordoff, designed a brand of music therapy for hard-to-reach children that is now used to help people with autism, stroke and Alzheimer’s disease.","Clive Robbins, a developer of an influential brand of music therapy designed to help people with various disabilities meet the physical, mental and social challenges that are facts of everyday life, died on Wednesday at his home in Jersey City. He was 84.",B,17,The New York Times,"[{'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/12/13/nyregion/ROBBINS-obit/ROBBINS-obit-jumbo.jpg', 'height': 1024, 'width': 709, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/12/13/nyregion/ROBBINS-obit/ROBBINS-obit-articleInline.jpg', 'height': 275, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/12/13/nyregion/ROBBINS-obit/ROBBINS-obit-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2011/12/13/nyregion/ROBBINS-obit/ROBBINS-obit-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Music', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Disabilities', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'New York University', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 4, 'major': 'N'}]",2011-12-13T00:49:14+0000,article,Metro,New York,,Obituary (Obit),nyt://article/a791ee37-534b-596d-9a95-a9c8e5d34115,755,nyt://article/a791ee37-534b-596d-9a95-a9c8e5d34115,"Clive Robbins, Developer of a Method of Music Therapy, Dies at 84",,,"Clive Robbins, 84, Developer of a Method of Music Therapy",,,,By Margalit Fox,"[{'firstname': 'Margalit', 'middlename': None, 'lastname': 'Fox', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
The one-man show “Mad Women” at the Club at La MaMa finds John Fleck reflecting on his childhood.,https://www.nytimes.com/2011/12/08/theater/reviews/mad-women-with-john-fleck-at-la-mama-review.html,The one-man show “Mad Women” at the Club at La MaMa finds John Fleck reflecting on his childhood.,"After the countless drag queens who have paid tribute to Judy Garland, you’d think her stardust might be running low. But no, the actor and performance artist John Fleck grabs a handful in his spirited, heartfelt, one-man show “Mad Women” at the Club at La MaMa. Mr. Fleck and three other artists — Karen Finley, Holly Hughes and Tim Miller — were at the center of a controversy over content in the early 1990s when the National Endowment for the Arts revoked their grants. There is no controversy in “Mad Women,” only affection for Garland and bittersweet recollections of Mr. Fleck’s past.",C,6,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/12/08/arts/sub-mad/sub-mad-articleLarge.jpg', 'height': 330, 'width': 600, 'legacy': {'xlarge': 'images/2011/12/08/arts/sub-mad/sub-mad-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 330}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/12/08/arts/sub-mad/sub-mad-blog480.jpg', 'height': 278, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/12/08/arts/sub-mad/sub-mad-jumbo.jpg', 'height': 593, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/12/08/arts/sub-mad/sub-mad-popup.jpg', 'height': 376, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/12/08/arts/sub-mad/sub-mad-articleInline.jpg', 'height': 110, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/12/08/arts/sub-mad/sub-mad-sfSpan.jpg', 'height': 229, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/12/08/arts/sub-mad/sub-mad-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2011/12/08/arts/sub-mad/sub-mad-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'organizations', 'value': 'La MaMa ETC', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Theater', 'rank': 2, 'major': 'N'}]",2011-12-07T20:24:50+0000,article,Culture,Theater,Theater Reviews,Review,nyt://article/f2315eee-8542-580f-bab4-1a1d52e5ebef,319,nyt://article/f2315eee-8542-580f-bab4-1a1d52e5ebef,"Happy Little Bluebirds May Fly, but Judy and Mom Just Crashed and Burned",Theater Review | 'Mad Women',,"Happy Little Bluebirds May Fly, But Judy and Mom Just Crashed and Burned",,,,By Andy Webster,"[{'firstname': 'Andy', 'middlename': None, 'lastname': 'Webster', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
"Ms. Love, who often played ingénues on Broadway in the 1950s, originated the part of Rosa in a Tennessee Williams play.",https://www.nytimes.com/2011/11/07/theater/phyllis-love-rosa-in-rose-tattoo-dies-at-85.html,"Ms. Love, who often played ingénues on Broadway in the 1950s, originated the part of Rosa in a Tennessee Williams play.","Phyllis Love, who often played ingénues on Broadway in the 1950s and who originated the part of Rosa Delle Rose in Tennessee Williams’s “Rose Tattoo,” died on Oct. 30 at her home in Menifee, Calif. She was 85.",A,23,The New York Times,"[{'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/11/07/arts/love-obit/love-obit-jumbo.jpg', 'height': 1024, 'width': 786, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/11/07/arts/love-obit/love-obit-articleInline.jpg', 'height': 248, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/11/07/arts/love-obit/love-obit-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2011/11/07/arts/love-obit/love-obit-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Williams, Tennessee', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Actors and Actresses', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Rose Tattoo', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Theater', 'rank': 5, 'major': 'N'}]",2011-11-07T04:16:57+0000,article,Culture,Theater,,Obituary (Obit),nyt://article/cdcc85ef-d6c7-598b-9c8b-f0c38355dcff,326,nyt://article/cdcc85ef-d6c7-598b-9c8b-f0c38355dcff,"Phyllis Love, Actress on Broadway Stage, Dies at 85",,,"Phyllis Love, 85, Actress on Broadway Stage",,,,By Daniel E. Slotnik,"[{'firstname': 'Daniel', 'middlename': 'E.', 'lastname': 'Slotnik', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
"As a dancer, Mr. Reigenborn was the epitome of the deceptively cool Minimalist style that emerged in the dance avant-garde of the 1970s.",https://www.nytimes.com/2011/04/17/arts/dance/garry-reigenborn-dancer-and-educator-dies-at-58.html,"As a dancer, Mr. Reigenborn was the epitome of the deceptively cool Minimalist style that emerged in the dance avant-garde of the 1970s.","Garry Reigenborn, a dancer and choreographer who played an influential role in American experimental dance as a leading member of the Lucinda Childs Dance Company and as a teacher of Merce Cunningham’s technique, died on March 10 in Canon City, Colo. He was 58.",A,22,The New York Times,[],"[{'name': 'organizations', 'value': 'Cunningham, Merce, Dance Co', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Dancing', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 3, 'major': 'N'}]",2011-04-16T04:06:44+0000,article,Culture,Arts,Dance,Obituary (Obit),nyt://article/48170ed2-cba1-5ded-905e-de1424db30b7,334,nyt://article/48170ed2-cba1-5ded-905e-de1424db30b7,"Garry Reigenborn, a Dancer and Influential Choreographer, Dies at 58",,,"Garry Reigenborn, 58, a Dancer and Influential Choreographer",,,,By Anna Kisselgoff,"[{'firstname': 'Anna', 'middlename': None, 'lastname': 'Kisselgoff', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
Photographers at The Washington Post and The Los Angeles Times have won Pulitzers this year.,https://lens.blogs.nytimes.com/2011/04/18/pulitzers-reward-tenacious-photographers/,Photographers at The Washington Post and The Los Angeles Times have won Pulitzers this year.,"Carol Guzy, Nikki Kahn and Ricky Carioti of The Washington Post have won the 2011 Pulitzer Prize in breaking news photography for their coverage of the catastrophic Haitian earthquake. And Barbara Davidson of The Los Angeles Times has won the Pulitzer in feature photography for chronicling the victims of gang violence.",,,The New York Times,[],"[{'name': 'subject', 'value': 'Photography', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Pulitzer Prizes', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Davidson, Barbara', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Guzy, Carol', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Los Angeles Times', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Washington Post', 'rank': 6, 'major': 'N'}]",2011-04-19T00:06:21+0000,article,,Multimedia/Photos,,,nyt://article/433e1d0c-6a44-56f7-af8f-e7800e12308f,374,nyt://article/433e1d0c-6a44-56f7-af8f-e7800e12308f,Pulitzers Reward Tenacious Photographers,Lens,,,,,,By David W. Dunlap,"[{'firstname': 'David', 'middlename': 'W.', 'lastname': 'Dunlap', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
"Ms. Stevenson, a divorced mother of four, was the creative mind behind the television spot advertising Life cereal, which ran for more than a decade.",https://www.nytimes.com/2011/12/16/business/media/edie-stevenson-dies-at-81-wrote-lets-get-mikey-ad.html,"Ms. Stevenson, a divorced mother of four, was the creative mind behind the television spot advertising Life cereal, which ran for more than a decade.","In 1973, a little boy named Mikey, a notoriously picky eater, dug enthusiastically into a bowl of a new, healthy cereal called Life. “He likes it!” his stunned older brother exclaimed in a memorable 30-second commercial that ran for over a decade.",B,13,The New York Times,"[{'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/12/16/business/STEVENSON-obit/STEVENSON-obit-blog480.jpg', 'height': 427, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/12/16/business/STEVENSON-obit/STEVENSON-obit-jumbo.jpg', 'height': 910, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/12/16/business/STEVENSON-obit/STEVENSON-obit-popup.jpg', 'height': 578, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/12/16/business/STEVENSON-obit/STEVENSON-obit-articleInline.jpg', 'height': 169, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}]","[{'name': 'subject', 'value': 'Advertising and Marketing', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Television', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Cereals', 'rank': 4, 'major': 'N'}]",2011-12-16T04:28:50+0000,article,Business,Business Day,Media,Obituary (Obit),nyt://article/25b66de3-df4c-5a11-87da-1810dadf359b,363,nyt://article/25b66de3-df4c-5a11-87da-1810dadf359b,Edie Stevenson Dies at 81; Wrote ‘Let’s Get Mikey’ Ad,,,"Edie Stevenson, 81; Wrote &#8216;Let&#8217;s Get Mikey&#8217; Ad",,,,By Daniel E. Slotnik,"[{'firstname': 'Daniel', 'middlename': 'E.', 'lastname': 'Slotnik', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
"Sometimes getting a good deal means planning ahead. This week, a look at some programs and events that cost little more than the time it takes to fill out an application.",https://www.nytimes.com/2011/01/14/nyregion/14miser.html,"Sometimes getting a good deal means planning ahead. This week, a look at some programs and events that cost little more than the time it takes to fill out an application.","Sometimes getting a good deal means planning ahead. This week, a look at some programs and events that cost little more than the time it takes to fill out an application. ",C,33,The New York Times,"[{'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/01/14/arts/14MISER/SUB-MISER-jumbo.jpg', 'height': 751, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/01/14/arts/14MISER/SUB-MISER-popup.jpg', 'height': 477, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/01/14/arts/14MISER/SUB-MISER-articleInline.jpg', 'height': 139, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/01/14/arts/14MISER/SUB-MISER-sfSpan.jpg', 'height': 290, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/01/14/arts/14MISER/SUB-MISER-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2011/01/14/arts/14MISER/SUB-MISER-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'glocations', 'value': 'New York City', 'rank': 1, 'major': 'N'}]",2011-01-13T22:20:55+0000,article,Weekend,New York,,News,nyt://article/91686dba-ac1f-57fe-8949-247d1471ba97,436,nyt://article/91686dba-ac1f-57fe-8949-247d1471ba97,Weekend Miser,,,Weekend Miser,,,,By Rachel Lee Harris,"[{'firstname': 'Rachel', 'middlename': 'Lee', 'lastname': 'Harris', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
"In the U.S. budget battle, it looks like the next target is the National Institutes of Health, despite the fact that many say that America's economic destiny is reliant on scientific innovation.",https://www.nytimes.com/2011/02/21/us/21iht-letter21.html,"In the U.S. budget battle, it looks like the next target is the National Institutes of Health, despite the fact that many say that America's economic destiny is reliant on scientific innovation.","WASHINGTON — President Barack Obama’s call for “investments” in education, infrastructure and science and health research is dismissed by most congressional Republicans as a fig leaf for more big-government spending.",,,International Herald Tribune,[],"[{'name': 'organizations', 'value': 'National Institutes of Health', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Republican Party', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Democratic Party', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Federal Budget (US)', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 5, 'major': 'N'}]",2011-02-21T02:50:57+0000,article,Foreign,U.S.,,News,nyt://article/fc3f1776-5369-5cd8-b40b-e58f26cbac68,1015,nyt://article/fc3f1776-5369-5cd8-b40b-e58f26cbac68,The Budget Scalpel and Medical Research,Letter From Washington,,The Budget Scalpel and Medical Research,,,,By ALBERT R. HUNT | BLOOMBERG NEWS,"[{'firstname': 'Albert', 'middlename': 'R.', 'lastname': 'HUNT', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
What would you take with you if you had to flee in a disaster?,https://bucks.blogs.nytimes.com/2011/05/24/what-would-you-take-with-you-in-a-disaster/,What would you take with you if you had to flee in a disaster?, ,,,The New York Times,[],"[{'name': 'subject', 'value': 'Floods', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Photography', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Tornadoes', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'Joplin (Mo)', 'rank': 4, 'major': 'N'}]",2011-05-24T17:14:17+0000,article,,Your Money,,,nyt://article/652c4695-b94b-5d2b-a884-84366b5f5c45,441,nyt://article/652c4695-b94b-5d2b-a884-84366b5f5c45,What Would You Take With You in a Disaster?,Bucks,,,,,,By Ann Carrns,"[{'firstname': 'Ann', 'middlename': None, 'lastname': 'Carrns', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
"On July 7, 1981, President Reagan nominated Sandra Day O’Connor to the Supreme Court. She became the court’s first female justice.",https://learning.blogs.nytimes.com/2011/07/07/july-7-1981-reagan-nominates-oconnor-first-woman-for-supreme-court/,"On July 7, 1981, President Reagan nominated Sandra Day O’Connor to the Supreme Court. She became the court’s first female justice.","On July 7, 1981, President Ronald Reagan appointed an Arizona judge, Sandra Day O’Connor, to the Supreme Court. She was confirmed two months later, becoming the first woman to serve on the nation’s highest court.",,,The New York Times,[],[],2011-07-07T18:02:01+0000,article,,Education,,News,nyt://article/91a83af3-08fc-5a9c-a015-bfcdabb6d116,419,nyt://article/91a83af3-08fc-5a9c-a015-bfcdabb6d116,"July 7, 1981 | Reagan Nominates O’Connor, First Woman, for Supreme Court",The Learning Network,,,,,,By The Learning Network,[],The Learning Network,Alzheimer,
"Ms. Mercer won a Tony in 1969 for her performance as a pickup girl in the hit musical “Promises, Promises.”",https://www.nytimes.com/2011/05/05/theater/marian-mercer-actress-with-zany-streak-dies-at-75.html,"Ms. Mercer won a Tony in 1969 for her performance as a pickup girl in the hit musical “Promises, Promises.”","Marian Mercer, a willowy actress with a comedic flair who won a Tony Award in 1969 for her performance in the hit musical “Promises, Promises,” died on April 27 in Newbury Park, Calif. She was 75 and lived in Agoura Hills, Calif. ",B,13,The New York Times,"[{'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/05/05/arts/MERCER-obit/MERCER-obit-blog480.jpg', 'height': 358, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/05/05/arts/MERCER-obit/MERCER-obit-jumbo.jpg', 'height': 765, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/05/05/arts/MERCER-obit/MERCER-obit-popup.jpg', 'height': 485, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/05/05/arts/MERCER-obit/MERCER-obit-articleInline.jpg', 'height': 142, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/05/05/arts/MERCER-obit/MERCER-obit-sfSpan.jpg', 'height': 295, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/05/05/arts/MERCER-obit/MERCER-obit-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2011/05/05/arts/MERCER-obit/MERCER-obit-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Theater', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Actors and Actresses', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 3, 'major': 'N'}]",2011-05-05T00:21:25+0000,article,Culture,Theater,,Obituary (Obit),nyt://article/636c48f4-6b15-5d36-aa2d-ff93aed5d04f,456,nyt://article/636c48f4-6b15-5d36-aa2d-ff93aed5d04f,"Marian Mercer, Actress With Zany Streak, Is Dead at 75",,,"Marian Mercer, 75, Actress With Zany Streak",,,,By Dennis Hevesi,"[{'firstname': 'Dennis', 'middlename': None, 'lastname': 'Hevesi', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
