abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,print_section,print_page,type_of_material,subsection_name,query_consulta
"Facing dementia, one woman celebrates her 75th birthday. ",https://www.nytimes.com/video/science/1247467708301/sally-on-her-75th-birthday.html,"Facing dementia, one woman celebrates her 75th birthday. ","Facing dementia, one woman celebrates her 75th birthday. ",The New York Times,"[{'rank': 0, 'subtype': 'wide', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/04/26/science/8476_1_20100428noa_190x126.jpg', 'height': 126, 'width': 190, 'legacy': {'widewidth': 190, 'wideheight': 126, 'wide': 'images/2010/04/26/science/8476_1_20100428noa_190x126.jpg'}, 'subType': 'wide', 'crop_name': 'thumbWide'}, {'rank': 0, 'subtype': 'videoThumb', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/video/2010/04/26/8476_1_20100428noa_75x50.jpg', 'height': 50, 'width': 75, 'legacy': {}, 'subType': 'videoThumb', 'crop_name': 'videoThumb'}, {'rank': 0, 'subtype': 'videoSmall', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/video/2010/04/26/8476_1_20100428noa_500x281.jpg', 'height': 281, 'width': 500, 'legacy': {}, 'subType': 'videoSmall', 'crop_name': 'videoSmall'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/04/26/science/8476_1_20100428noa_75x75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/04/26/science/8476_1_20100428noa_75x75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Medicine and Health', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 3, 'major': 'N'}]",2010-04-26T18:24:10+0000,multimedia,Science,Science,nyt://video/5e180381-84fe-5033-80fd-9e3e028c61dc,0,nyt://video/5e180381-84fe-5033-80fd-9e3e028c61dc,Sally on Her 75th Birthday,,,,,,,None None,"[{'firstname': 'None', 'middlename': None, 'lastname': 'None', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,Video,,dementia
Older people with the highest levels of “good” HDL cholesterol were 60 percent less likely to develop Alzheimer’s than those with the lowest HDL levels.,https://well.blogs.nytimes.com/2010/12/16/good-cholesterol-may-lower-alzheimers-risk/,Older people with the highest levels of “good” HDL cholesterol were 60 percent less likely to develop Alzheimer’s than those with the lowest HDL levels.,Could HDL cholesterol — the good kind linked to lower heart disease risk — also protect people from dementia?,The New York Times,[],"[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Cholesterol', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 3, 'major': 'N'}]",2010-12-16T17:31:40+0000,article,,Health,nyt://article/3bcd0d88-cc3c-5bf8-aa34-5aa7e5982192,619,nyt://article/3bcd0d88-cc3c-5bf8-aa34-5aa7e5982192,‘Good’ Cholesterol May Lower Alzheimer’s Risk,Well,,,,,,By Roni Caryn Rabin,"[{'firstname': 'Roni', 'middlename': 'Caryn', 'lastname': 'Rabin', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,,dementia
An admission by the N.F.L. that football-related concussions can cause long-term brain damage comes 80 years after the data.,https://www.nytimes.com/2010/02/05/opinion/05blum.html,An admission by the N.F.L. that football-related concussions can cause long-term brain damage comes 80 years after the data.,"Madison, Wis.",The New York Times,"[{'rank': 0, 'subtype': 'wide', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/02/04/opinion/04opedimg/04opedimg-thumbWide.jpg', 'height': 126, 'width': 190, 'legacy': {'widewidth': 190, 'wideheight': 126, 'wide': 'images/2010/02/04/opinion/04opedimg/04opedimg-thumbWide.jpg'}, 'subType': 'wide', 'crop_name': 'thumbWide'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/02/04/opinion/04opedimg/04opedimg-popup.jpg', 'height': 438, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/02/04/opinion/04opedimg/04opedimg-articleInline.jpg', 'height': 138, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/02/04/opinion/04opedimg/04opedimg-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/02/04/opinion/04opedimg/04opedimg-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Athletics and Sports', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Concussions', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Football', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'National Football League', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Sports Medicine', 'rank': 7, 'major': 'N'}]",2010-02-05T03:30:51+0000,article,OpEd,Opinion,nyt://article/e993ed58-a9b4-5cd5-a129-cf31facabfe3,913,nyt://article/e993ed58-a9b4-5cd5-a129-cf31facabfe3,Will Science Take the Field?,Op-Ed Contributor,,Will Science Take the Field?,,,,By Deborah Blum,"[{'firstname': 'Deborah', 'middlename': None, 'lastname': 'Blum', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,25,Op-Ed,,dementia
Some residents of a Minnesota town argue that a proposed assisted living facility for dementia patients is a threat to children.,https://newoldage.blogs.nytimes.com/2010/05/12/a-danger-to-the-community/,Some residents of a Minnesota town argue that a proposed assisted living facility for dementia patients is a threat to children.,"So much for the stereotype of those nice, welcoming Minnesotans.",The New York Times,[],[],2010-05-12T15:20:37+0000,article,Science,Health,nyt://article/b0f930d7-8901-57c5-a80e-73409144fade,850,nyt://article/b0f930d7-8901-57c5-a80e-73409144fade,A Danger to the Community?,The New Old Age,,,,,,By Paula Span,"[{'firstname': 'Paula', 'middlename': None, 'lastname': 'Span', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,,dementia
A new guide to caring for those with Alzheimer’s does not shy away from difficult and sensitive issues.,https://newoldage.blogs.nytimes.com/2010/07/12/answers-for-tough-questions-about-alzheimers/,A new guide to caring for those with Alzheimer’s does not shy away from difficult and sensitive issues.,"The National Institute on Aging’s new guide for those caring for someone with Alzheimer’s disease, which I recommended a few weeks ago, drew generally positive reviews from New Old Age readers. ",The New York Times,[],[],2010-07-12T14:55:28+0000,article,Science,Health,nyt://article/a3bef1ea-8689-5d15-a986-0769ef37c383,366,nyt://article/a3bef1ea-8689-5d15-a986-0769ef37c383,Answers for Tough Questions About Alzheimer’s,The New Old Age,,,,,,By Paula Span,"[{'firstname': 'Paula', 'middlename': None, 'lastname': 'Span', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,,dementia
"A Phoenix nursing home has found that unlimited chocolate, and other comforts, go a long way in reducing patients’ distress.",https://www.nytimes.com/2011/01/01/health/01care.html,"A Phoenix nursing home has found that unlimited chocolate, and other comforts, go a long way in reducing patients’ distress.","PHOENIX — Margaret Nance was, to put it mildly, a difficult case. Agitated, combative, often reluctant to eat, she would hit staff members and fellow residents at nursing homes, several of which kicked her out. But when Beatitudes nursing home agreed to an urgent plea to accept her, all that changed.",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/01/01/health/CARE/CARE-articleLarge-v2.jpg', 'height': 360, 'width': 600, 'legacy': {'xlarge': 'images/2011/01/01/health/CARE/CARE-articleLarge-v2.jpg', 'xlargewidth': 600, 'xlargeheight': 360}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/01/01/health/CARE/CARE-jumbo.jpg', 'height': 660, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/01/01/health/CARE/CARE-popup.jpg', 'height': 419, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/01/01/health/CARE/CARE-articleInline.jpg', 'height': 122, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/01/01/health/CARE/CARE-sfSpan.jpg', 'height': 255, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/01/01/health/CARE/CARE-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2011/01/01/health/CARE/CARE-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Medicine and Health', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Elder Care', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Nursing Homes', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}]",2011-01-01T01:01:21+0000,article,National,Health,nyt://article/0bece6bf-8baf-5504-ba73-9a716a92ca2c,2063,nyt://article/0bece6bf-8baf-5504-ba73-9a716a92ca2c,"Giving Alzheimer’s Patients Their Way, Even Chocolate",Mind,,"Giving Alzheimer’s Patients Their Way, Even Doses of Chocolate",,,,By Pam Belluck,"[{'firstname': 'Pam', 'middlename': None, 'lastname': 'Belluck', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,1,News,,dementia
A new study found that large hospitals and for-profit hospitals were more likely to use the tubes in caring for nursing home residents with advanced dementia.,https://www.nytimes.com/2010/02/16/health/16aging.html,A new study found that large hospitals and for-profit hospitals were more likely to use the tubes in caring for nursing home residents with advanced dementia.,"When nursing home residents with advanced dementia are sent to the hospital, many are given feeding tubes, even though the practice is not believed to help them live longer. Now a new study finds that it is much more prevalent at some hospitals than others.",The New York Times,[],"[{'name': 'subject', 'value': 'Hospitals', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Elder Care', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Nursing Homes', 'rank': 5, 'major': 'N'}]",2010-02-12T18:40:19+0000,article,Science,Health,nyt://article/e7ff415f-012a-5dab-91bc-ae26e78ef534,239,nyt://article/e7ff415f-012a-5dab-91bc-ae26e78ef534,Aging: Hospital Type May Play Role in Decision on Feeding Tubes,Vital Signs,,Aging: Feeding Tube Use May Depend on Hospital,,,,By Roni Caryn Rabin,"[{'firstname': 'Roni', 'middlename': 'Caryn', 'lastname': 'Rabin', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,D,6,News,,dementia
Another new study suggests that body fat is bad for the brain.,https://opinionator.blogs.nytimes.com/2010/04/20/brain-damage/,Another new study suggests that body fat is bad for the brain.,Being fat is bad for your brain. ,The New York Times,[],[],2010-04-21T01:00:18+0000,article,OpEd,Opinion,nyt://article/c255bea5-2ad5-594b-97e9-9760d95be3a9,1604,nyt://article/c255bea5-2ad5-594b-97e9-9760d95be3a9,Brain Damage,Olivia Judson,,,,,,By Olivia Judson,"[{'firstname': 'Olivia', 'middlename': None, 'lastname': 'Judson', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,,dementia
"Guns signify independence to many frail seniors, including those with dementia, and often caregivers struggle with decisions about when to remove weapons from the homes of loved ones.",https://newoldage.blogs.nytimes.com/2010/07/14/guns-in-frail-hands/,"Guns signify independence to many frail seniors, including those with dementia, and often caregivers struggle with decisions about when to remove weapons from the homes of loved ones.","She is a 90-year-old widow with mild Alzheimer’s disease, and her son is begging her, for safety’s sake, to give up something she considers essential to her independence and sense of control.",The New York Times,[],[],2010-07-14T15:32:15+0000,article,Science,Health,nyt://article/66846338-f35f-51d9-bb45-71a4cd9b6044,959,nyt://article/66846338-f35f-51d9-bb45-71a4cd9b6044,Guns in Frail Hands,The New Old Age,,,,,,By Dale Russakoff,"[{'firstname': 'Dale', 'middlename': None, 'lastname': 'Russakoff', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,,dementia
New data on the effects of concussions on football players should prompt a re-evaluation of everything about the game.,https://www.nytimes.com/2010/01/03/opinion/03sun2.html,New data on the effects of concussions on football players should prompt a re-evaluation of everything about the game.," The National Football League seems finally to have emerged from its cocoon of denial about the devastating long-term effects of concussions on professional football players. In November, it announced that players with concussions could not return to the field without the blessing of an independent brain-injury expert. It has also agreed to support research by its most vocal critics.",The New York Times,[],"[{'name': 'organizations', 'value': 'Boston University', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Editorials', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Concussions', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Football', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'National Football League', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 6, 'major': 'N'}]",2010-01-02T21:37:29+0000,article,Editorial,Opinion,nyt://article/508f721a-6199-5186-a963-1acf476bec0c,357,nyt://article/508f721a-6199-5186-a963-1acf476bec0c,Dangerous Game,Editorial,,Dangerous Game,,,,,[],,WK,7,Editorial,,dementia
The league and the players union agreed to expand qualifications for the 88 Plan aiding former players with medical expenses.,https://www.nytimes.com/2010/10/19/sports/football/19als.html,The league and the players union agreed to expand qualifications for the 88 Plan aiding former players with medical expenses.,"The N.F.L. and the players union announced Monday that they would expand qualifications for the 88 Plan, which since 2007 has assisted former players with medical expenses related to dementia, to include amyotrophic lateral sclerosis, or Lou Gehrig’s disease.",The New York Times,[],"[{'name': 'subject', 'value': 'Amyotrophic Lateral Sclerosis', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'National Football League', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Football', 'rank': 3, 'major': 'N'}]",2010-10-19T00:17:55+0000,article,Sports,Sports,nyt://article/833fe156-458f-59b4-9c0d-8427c0bafa42,333,nyt://article/833fe156-458f-59b4-9c0d-8427c0bafa42,N.F.L. Agrees to Help Ex-Players Who Have A.L.S.,,,N.F.L. and Union to Help Former Players With A.L.S.,,,,By Alan Schwarz,"[{'firstname': 'Alan', 'middlename': None, 'lastname': 'Schwarz', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,B,17,News,Pro Football,dementia
"In “Happy Tears,” the writer and director Mitchell Lichtenstein struggles to find the humor in a host of horrors.",https://www.nytimes.com/2010/02/19/movies/19happy.html,"In “Happy Tears,” the writer and director Mitchell Lichtenstein struggles to find the humor in a host of horrors.","In “Happy Tears,” a comedy about the unhappy topic of family dysfunction, the writer and director Mitchell Lichtenstein (“Teeth”) struggles to find the humor in a host of horrors, including encroaching parental dementia. Unfortunately, to judge from the many awkwardly handled passages, Mr. Lichtenstein does not possess the requisite filmmaking skill or certainly the delicacy, to balance the different, often jarringly contrasting moods, jokes and intimate revelations squeezed into this erratic, belabored movie. ",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/02/19/movies/19happyspan-1/19happyspan-1-articleLarge.jpg', 'height': 331, 'width': 600, 'legacy': {'xlarge': 'images/2010/02/19/movies/19happyspan-1/19happyspan-1-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 331}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/02/19/movies/19happyspan-1/19happyspan-1-articleLarge.jpg', 'height': 331, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/02/19/movies/19happyspan-1/19happyspan-1-sfSpan.jpg', 'height': 263, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/02/19/movies/19happyspan-1/19happyspan-1-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/02/19/movies/19happyspan-1/19happyspan-1-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Lichtenstein, Mitchell', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Posey, Parker', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Torn, Rip', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Moore, Demi', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Barkin, Ellen', 'rank': 7, 'major': 'N'}]",2010-02-19T01:14:37+0000,article,Weekend,Movies,nyt://article/f110c75d-b434-537b-b7db-208f0014e110,418,nyt://article/f110c75d-b434-537b-b7db-208f0014e110,The Many Shades of Family Dysfunction,Movie Review | 'Happy Tears',,,,,,By Manohla Dargis,"[{'firstname': 'Manohla', 'middlename': None, 'lastname': 'Dargis', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,C,10,Review,,dementia
"Experts predict a two- to threefold increase in the number of people with the disease if new guidelines are adopted, as expected.",https://www.nytimes.com/2010/07/14/health/policy/14alzheimer.html,"Experts predict a two- to threefold increase in the number of people with the disease if new guidelines are adopted, as expected.","For the first time in 25 years, medical experts are proposing a major change in the criteria for Alzheimer’s disease, part of a new movement to diagnose and, eventually, treat the disease earlier.",The New York Times,[],"[{'name': 'subject', 'value': 'Medicine and Health', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Tests and Testing', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 3, 'major': 'N'}]",2010-07-14T01:21:27+0000,article,National,Health,nyt://article/d2b68ec3-3721-54d2-9bab-86f6d5522e1f,950,nyt://article/d2b68ec3-3721-54d2-9bab-86f6d5522e1f,Rules Seek to Expand Diagnosis of Alzheimer’s ,,,GUIDELINES SEEK EARLY DETECTION OF ALZHEIMER’S,,,,By Gina Kolata,"[{'firstname': 'Gina', 'middlename': None, 'lastname': 'Kolata', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,1,News,Money & Policy,dementia
A expert at Duke has authored an unusually informative guide for caregivers and the elderly facing Alzheimer’s.,https://newoldage.blogs.nytimes.com/2010/08/27/the-caregivers-bookshelf-the-beginnings-of-alzheimers/,A expert at Duke has authored an unusually informative guide for caregivers and the elderly facing Alzheimer’s.,"It’s been nearly 30 years since Dr. Peter Rabins, a Johns Hopkins psychiatrist, and his co-author Nancy Mace published “The 36-Hour Day,” the best known guide to caring for someone with Alzheimer’s disease. Now in its fourth edition, it remains a trusted source of information and support.",The New York Times,[],[],2010-08-27T13:00:25+0000,article,Science,Health,nyt://article/f794d1c7-126e-5481-a770-09454a447b03,417,nyt://article/f794d1c7-126e-5481-a770-09454a447b03,The Caregiver’s Bookshelf: The Beginnings of Alzheimer’s,The New Old Age,,,,,,By Paula Span,"[{'firstname': 'Paula', 'middlename': None, 'lastname': 'Span', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,,dementia
313: The number of drugs — a record high — under research and development to treat mental illness.,https://www.nytimes.com/2010/07/25/weekinreview/25prime.html,313: The number of drugs — a record high — under research and development to treat mental illness.,"313: The number of drugs — a record high — under research and development to treat mental illness, according to a new report by the Pharmaceutical Research and",The New York Times,[],[],2010-07-24T15:54:12+0000,article,WeekInReview,Week in Review,nyt://article/176c92ae-b2d1-5775-b8d0-d551aef9cda1,86,nyt://article/176c92ae-b2d1-5775-b8d0-d551aef9cda1,Prime Number,,,Prime Number,,,,,[],,WK,4,News,,dementia
How far has a family member with Alzheimer’s declined? A new online tool tries to help users figure it out.,https://newoldage.blogs.nytimes.com/2010/10/13/plotting-the-course-of-alzheimers/,How far has a family member with Alzheimer’s declined? A new online tool tries to help users figure it out.,"Many Web sites offer help for stressed caregivers in general and information on Alzheimer’s disease in particular (the Alzheimer’s Association site is particularly comprehensive). But they don’t fully harness the Web’s interactivity to provide specific, tailored advice regarding Alzheimer’s — recommendations that necessarily change as patients’ behaviors and symptoms shift.",The New York Times,[],[],2010-10-13T16:54:23+0000,article,,Health,nyt://article/592e8c19-014c-543b-96d7-5fb2057b4cb3,760,nyt://article/592e8c19-014c-543b-96d7-5fb2057b4cb3,Plotting the Course of Alzheimer’s,The New Old Age,,,,,,By Paula Span,"[{'firstname': 'Paula', 'middlename': None, 'lastname': 'Span', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,,dementia
"Even in the later stages of dementia, many Alzheimer’s patients enjoy and benefit from books, experts have found.",https://newoldage.blogs.nytimes.com/2010/04/22/many-alzheimers-patients-find-comfort-in-books/,"Even in the later stages of dementia, many Alzheimer’s patients enjoy and benefit from books, experts have found.","Familiar music can engage those with Alzheimer’s when almost nothing else can, researchers have shown. Now it appears that books written for these patients may have a similar effect.",The New York Times,[],[],2010-04-22T13:00:49+0000,article,Science,Health,nyt://article/88f03407-2d0f-5c5b-9e91-ba6634b92f27,535,nyt://article/88f03407-2d0f-5c5b-9e91-ba6634b92f27,Many Alzheimer’s Patients Find Comfort in Books,The New Old Age,,,,,,By Milt Freudenheim,"[{'firstname': 'Milt', 'middlename': None, 'lastname': 'Freudenheim', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,,dementia
"Researchers are trying to determine when and how the brain begins to deteriorate. If drugs can be given sooner, they say, treatment might be more successful.",https://www.nytimes.com/ref/health/healthguide/alzheimers_ess.html,"Researchers are trying to determine when and how the brain begins to deteriorate. If drugs can be given sooner, they say, treatment might be more successful.","Much of the research on Alzheimer’s next year will be about going back in time, trying to determine when and how the brain begins to deteriorate.",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/10/health/09alzheimersspan-articleLarge.jpg', 'height': 330, 'width': 600, 'legacy': {'xlarge': 'images/2010/11/10/health/09alzheimersspan-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 330}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/10/health/09alzheimersspan-articleLarge.jpg', 'height': 330, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/10/health/09alzheimersspan-articleInline-v2.jpg', 'height': 245, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/10/health/09alzheimersspan-sfSpan.jpg', 'height': 250, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}]",[],2010-11-10T17:32:02+0000,article,Science,Health,nyt://article/f073832f-e260-510a-ba7c-a36bec0e7d5d,858,nyt://article/f073832f-e260-510a-ba7c-a36bec0e7d5d,"For Edge on Alzheimer’s, Testing Early Treatments",Reporter's Notebook,,"For Edge on Alzheimer’s, Testing Early Treatments",,,,By PAM BELLUCK,"[{'firstname': 'Pam', 'middlename': None, 'lastname': 'BELLUCK', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,News,Health Guide,dementia
"Micky Ward, the real-life subject of the new David O. Russell movie “The Fighter,” has agreed to donate his organs after he dies to further the study of punch drunk syndrome.",https://carpetbagger.blogs.nytimes.com/2010/12/20/a-fighter-does-his-bit-for-science/,"Micky Ward, the real-life subject of the new David O. Russell movie “The Fighter,” has agreed to donate his organs after he dies to further the study of punch drunk syndrome.","It’s hard to say whether such a move will curry favor with the Academy, but Micky Ward, the boxer at the center of the based-on-real-life story “The Fighter,” has pledged to help science by donating his brain for medical research.",The New York Times,[],"[{'name': 'persons', 'value': 'Bale, Christian', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Russell, David O', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Wahlberg, Mark', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Ward, Micky', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Boston University', 'rank': 5, 'major': 'N'}]",2010-12-20T19:50:39+0000,article,,Arts,nyt://article/cdae6fcc-adee-5fef-8f49-ed0ed8142b73,299,nyt://article/cdae6fcc-adee-5fef-8f49-ed0ed8142b73,A ‘Fighter’ Does His Bit for Science,Carpetbagger,,,,,,By Melena Ryzik,"[{'firstname': 'Melena', 'middlename': None, 'lastname': 'Ryzik', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,,dementia
