abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,print_section,print_page,query_consulta,subsection_name
"Mild cognitive impairment, or M.C.I., involves a decline in mental acuity noticeable by oneself and others but not severe enough to be diagnosed as dementia.",https://www.nytimes.com/2012/01/10/health/research/nicotine-patch-helps-against-cognitive-impairment-in-study.html,"Mild cognitive impairment, or M.C.I., involves a decline in mental acuity noticeable by oneself and others but not severe enough to be diagnosed as dementia.","A nicotine patch worn for six months can improve attention, memory and mental processing in people with mild cognitive impairment, a clinical trial has found.",The New York Times,[],"[{'name': 'subject', 'value': 'Nicotine', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Mental Health and Disorders', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Neurology (Journal)', 'rank': 4, 'major': 'N'}]",2012-01-09T22:57:41+0000,article,Science,Health,News,nyt://article/393c1dc0-ec13-5a18-8a6c-fa2b0c9aefbc,210,nyt://article/393c1dc0-ec13-5a18-8a6c-fa2b0c9aefbc,Nicotine Patch Helps Against Cognitive Impairment in Study,Vital Signs,,Aging: Nicotine Patch Helps Against Cognitive Impairment in Study,,,,By Nicholas Bakalar,"[{'firstname': 'Nicholas', 'middlename': None, 'lastname': 'Bakalar', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,D,6,dementia,Research
"A daily walk or jog could alter the risk of developing Alzheimer’s or change the course of the disease if it begins in some people, a new study suggests.",https://well.blogs.nytimes.com/2012/01/18/how-exercise-may-keep-alzheimers-at-bay/,"A daily walk or jog could alter the risk of developing Alzheimer’s or change the course of the disease if it begins in some people, a new study suggests.","Alzheimer’s disease, with its inexorable loss of memory and self, understandably alarms most of us. This is especially so since, at the moment, there are no cures for the condition and few promising drug treatments. But a cautiously encouraging new study from The Archives of Neurology suggests that for some people, a daily walk or jog could alter the risk of developing Alzheimer’s or change the course of the disease if it begins.",The New York Times,[],"[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Genetics and Heredity', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Memory', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Walking', 'rank': 6, 'major': 'N'}]",2012-01-18T05:01:35+0000,article,Science,Health,News,nyt://article/e1d49c35-c865-50d4-afde-541fb1e60a84,909,nyt://article/e1d49c35-c865-50d4-afde-541fb1e60a84,How Exercise May Keep Alzheimer’s at Bay,Well,,Exercise May Throw Up an Alzheimeru2019s Roadblock,,,,By Gretchen Reynolds,"[{'firstname': 'Gretchen', 'middlename': None, 'lastname': 'Reynolds', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,D,5,dementia,
Dr. P. Murali Doraiswamy of Duke University addresses reader questions about Alzheimer’s disease and other memory problems.,https://www.nytimes.com/2012/11/21/booming/ask-and-expert-about-alzheimers-part-3.html,Dr. P. Murali Doraiswamy of Duke University addresses reader questions about Alzheimer’s disease and other memory problems.,"Dr. P. Murali Doraiswamy, a psychiatry professor at Duke University Medical Center and an author of “The Alzheimer’s Action Plan,” has been answering readers’ questions about Alzheimer’s disease and memory problems. Part 1 of responses can be found here, and Part 2, is here. In our third and final part, he responds to questions dealing with treatment, patient care and new clinical trials.",The New York Times,"[{'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/07/booming/07expertplea-booming-memory/07expertplea-booming-memory-jumbo.jpg', 'height': 1024, 'width': 683, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/07/booming/07expertplea-booming-memory/07expertplea-booming-memory-popup.jpg', 'height': 500, 'width': 333, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'superJumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/07/booming/07expertplea-booming-memory/07expertplea-booming-memory-superJumbo.jpg', 'height': 2048, 'width': 1366, 'legacy': {}, 'subType': 'superJumbo', 'crop_name': 'superJumbo'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/07/booming/07expertplea-booming-memory/07expertplea-booming-memory-articleInline.jpg', 'height': 190, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/07/booming/07expertplea-booming-memory/07expertplea-booming-memory-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2012/11/07/booming/07expertplea-booming-memory/07expertplea-booming-memory-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}, {'rank': 0, 'subtype': 'thumbLarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/07/booming/07expertplea-booming-memory/07expertplea-booming-memory-thumbLarge.jpg', 'height': 150, 'width': 150, 'legacy': {}, 'subType': 'thumbLarge', 'crop_name': 'thumbLarge'}]","[{'name': 'subject', 'value': 'Baby Boomers', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 2, 'major': 'N'}]",2012-11-21T16:40:21+0000,article,Styles,Booming,News,nyt://article/0aa0493c-d5f1-5138-8bf7-319b9b28cb20,6026,nyt://article/0aa0493c-d5f1-5138-8bf7-319b9b28cb20,"Ask an Expert About Alzheimer’s, Part 3",Ask an Expert,,,,,,By The New York Times,[],The New York Times,,,dementia,
Images of athletes’ brains illustrate the deterioration that can be caused by repeated mild head traumas.,https://www.nytimes.com/interactive/2012/12/03/sports/images-of-brain-injuries-in-athletes.html,Images of athletes’ brains illustrate the deterioration that can be caused by repeated mild head traumas.,Images of athletes’ brains illustrate the deterioration that can be caused by repeated mild head traumas.,The New York Times,[],"[{'name': 'subject', 'value': 'Chronic Traumatic Encephalopathy', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Concussions', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Brain', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Sports Injuries', 'rank': 4, 'major': 'N'}]",2012-12-03T05:02:40+0000,multimedia,Sports,Sports,Interactive Feature,nyt://interactive/2ffd78cc-6fc3-55cb-a185-3806af04f3f9,0,nyt://interactive/2ffd78cc-6fc3-55cb-a185-3806af04f3f9,Images of Brain Injuries in Athletes,,,,,,,,[],,,,dementia,
"For those in midlife and beyond, a college degree appears to slow the brain’s aging process by up to a decade, adding a new twist to the cost-benefit analysis of higher education.",https://well.blogs.nytimes.com/2012/01/19/boosting-mental-fitness-in-middle-age/,"For those in midlife and beyond, a college degree appears to slow the brain’s aging process by up to a decade, adding a new twist to the cost-benefit analysis of higher education.","Research shows that education is an essential element to keeping the brain fit as it ages, an issue explored by the New York Times reporter Patricia Cohen in the latest issue of Education Life.",The New York Times,[],"[{'name': 'subject', 'value': 'Dementia', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Intelligence (IQ)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 3, 'major': 'N'}]",2012-01-19T15:22:56+0000,article,,Health,News,nyt://article/6c4f5a7f-437b-5db2-a64c-fbf57c68ebff,302,nyt://article/6c4f5a7f-437b-5db2-a64c-fbf57c68ebff,Boosting Mental Fitness in Middle Age,Well,,,,,,By Tara Parker-Pope,"[{'firstname': 'Tara', 'middlename': None, 'lastname': 'Parker-Pope', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,dementia,
"With so many patients having to choose between nursing homes and palliative care, the Affordable Care Act calls for a three-year experiment of “concurrent care,” but no target date to begin has been set.",https://newoldage.blogs.nytimes.com/2012/12/03/forced-to-choose-exploring-other-options/,"With so many patients having to choose between nursing homes and palliative care, the Affordable Care Act calls for a three-year experiment of “concurrent care,” but no target date to begin has been set.","I wrote last week about the poor choices facing patients, most very old and within six months of death, who need nursing home care after a hospitalization.",The New York Times,[],"[{'name': 'subject', 'value': 'Death and Dying', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Hospice Care', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Medicare', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Nursing Homes', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'University of California, San Francisco', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'Boston (Mass)', 'rank': 7, 'major': 'N'}]",2012-12-03T11:23:55+0000,article,,Health,News,nyt://article/6a086093-2a7d-54c2-a36f-bb730d650e7d,703,nyt://article/6a086093-2a7d-54c2-a36f-bb730d650e7d,Forced to Choose: Exploring Other Options,The New Old Age,,,,,,By Paula Span,"[{'firstname': 'Paula', 'middlename': None, 'lastname': 'Span', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,dementia,
"A disproportionate number of men who played at least five seasons in the N.F.L. from 1959 to 1988 developed Alzheimer’s disease or Lou Gehrig’s disease, according to a study released Wednesday.",https://fifthdown.blogs.nytimes.com/2012/09/05/study-finds-increased-risks-for-n-f-l-players/,"A disproportionate number of men who played at least five seasons in the N.F.L. from 1959 to 1988 developed Alzheimer’s disease or Lou Gehrig’s disease, according to a study released Wednesday.","A disproportionate number of men who played at least five seasons in the N.F.L. from 1959 to 1988 developed Alzheimer’s disease or Lou Gehrig’s disease, according to a study released Wednesday. ",The New York Times,[],"[{'name': 'subject', 'value': 'Football', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Easterling, Ray', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'National Football League', 'rank': 3, 'major': 'N'}]",2012-09-05T22:21:10+0000,article,,Sports,News,nyt://article/9fc761c3-861f-5ec8-bf91-5cc4f1527863,542,nyt://article/9fc761c3-861f-5ec8-bf91-5cc4f1527863,Study Finds Increased Risks for N.F.L. Players,The Fifth Down,,Study Finds Risk of Brain Disease for N.F.L. Players,,,,By Mike Tierney,"[{'firstname': 'Mike', 'middlename': None, 'lastname': 'Tierney', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,B,14,dementia,Pro Football
"Getting travel refunds if the price drops, how medical debts can stain your credit history, coupon-clipping your way to economic rebirth and other consumer-focused news from The New York Times.",https://bucks.blogs.nytimes.com/2012/05/07/monday-reading-getting-travel-refunds-if-the-price-drops/,"Getting travel refunds if the price drops, how medical debts can stain your credit history, coupon-clipping your way to economic rebirth and other consumer-focused news from The New York Times.","A variety of consumer-focused articles appears daily in The New York Times and on our blogs. Each weekday morning, we gather them together here so you can quickly scan the news that could hit you in your wallet.",The New York Times,[],[],2012-05-07T11:48:41+0000,article,,Your Money,News,nyt://article/92a5ef46-185c-59d9-b08f-5675181e4e97,229,nyt://article/92a5ef46-185c-59d9-b08f-5675181e4e97,Monday Reading: Getting Travel Refunds if the Price Drops,Bucks,,,,,,By Ann Carrns,"[{'firstname': 'Ann', 'middlename': None, 'lastname': 'Carrns', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,dementia,
"“Ruth & Erica,” a YouTube drama, is the latest in a series of movies, TV shows and books that focus on aging.",https://newoldage.blogs.nytimes.com/2012/09/24/the-drama-of-aging-and-caregiving-on-youtube/,"“Ruth & Erica,” a YouTube drama, is the latest in a series of movies, TV shows and books that focus on aging.","“I don’t want to take care of them,” Erica confesses in Episode 12 to the man she’s just slept with, speaking about her elderly parents.",The New York Times,[],"[{'name': 'subject', 'value': 'Elderly', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Lippman, Amy', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'YouTube.com', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'California', 'rank': 4, 'major': 'N'}]",2012-09-24T19:26:15+0000,article,,Health,News,nyt://article/a508cf1f-be45-5d3a-8cb3-bbf4cc1bf423,526,nyt://article/a508cf1f-be45-5d3a-8cb3-bbf4cc1bf423,"The Drama of Aging and Caregiving, on YouTube",The New Old Age,,,,,,By Paula Span,"[{'firstname': 'Paula', 'middlename': None, 'lastname': 'Span', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,dementia,
Dr. P. Murali Doraiswamy of Duke University addresses reader questions about Alzheimer’s disease and other memory problems.,https://www.nytimes.com/2012/11/16/booming/answers-about-alzheimers-part-2.html,Dr. P. Murali Doraiswamy of Duke University addresses reader questions about Alzheimer’s disease and other memory problems.,"Dr. P. Murali Doraiswamy, a psychiatry professor at Duke University Medical Center and an author of “The Alzheimer’s Action Plan,” has been answering readers’ questions about Alzheimer’s disease and memory problems. Part 1 of responses can be found here. Part 2, posted below, addresses diagnostic issues, the role played by genetics, causes and policy issues. His last set of answers, about treatment, patient care and new clinical trials, will appear here on Wednesday. [Update: Part 3 can be read here.]",The New York Times,"[{'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/07/booming/07expertplea-booming-memory/07expertplea-booming-memory-jumbo.jpg', 'height': 1024, 'width': 683, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/07/booming/07expertplea-booming-memory/07expertplea-booming-memory-popup.jpg', 'height': 500, 'width': 333, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'superJumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/07/booming/07expertplea-booming-memory/07expertplea-booming-memory-superJumbo.jpg', 'height': 2048, 'width': 1366, 'legacy': {}, 'subType': 'superJumbo', 'crop_name': 'superJumbo'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/07/booming/07expertplea-booming-memory/07expertplea-booming-memory-articleInline.jpg', 'height': 190, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/07/booming/07expertplea-booming-memory/07expertplea-booming-memory-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2012/11/07/booming/07expertplea-booming-memory/07expertplea-booming-memory-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}, {'rank': 0, 'subtype': 'thumbLarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/07/booming/07expertplea-booming-memory/07expertplea-booming-memory-thumbLarge.jpg', 'height': 150, 'width': 150, 'legacy': {}, 'subType': 'thumbLarge', 'crop_name': 'thumbLarge'}]",[],2012-11-16T11:00:07+0000,article,Styles,Booming,Question,nyt://article/7860d259-101e-5efd-9853-bd469b007e4e,3026,nyt://article/7860d259-101e-5efd-9853-bd469b007e4e,"Answers About Alzheimer’s, Part 2",Ask an Expert,,,,,,By The New York Times,[],The New York Times,,,dementia,
A 56-year-old man with dementia was admitted to a medical center. His feeding tube needed to be removed from his stomach. It’s a common enough procedure that went fine. But then things went terribly wrong. The culprit: a smartphone.,https://bits.blogs.nytimes.com/2012/01/03/multitasking-doctor-imperils-patient-case-study-says/,A 56-year-old man with dementia was admitted to a medical center. His feeding tube needed to be removed from his stomach. It’s a common enough procedure that went fine. But then things went terribly wrong. The culprit: a smartphone., A 56-year-old man with dementia was admitted to a medical center. His feeding tube needed to be removed from his stomach. It’s a common enough procedure that went fine. But then things went terribly wrong.,The New York Times,[],"[{'name': 'subject', 'value': 'Doctors', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Text Messaging', 'rank': 2, 'major': 'N'}]",2012-01-03T21:08:23+0000,article,,Technology,News,nyt://article/a359351a-234a-594b-86ea-60c103273929,335,nyt://article/a359351a-234a-594b-86ea-60c103273929,"Multitasking Doctor Imperils Patient, Case Study Says",Bits,,,,,,By Matt Richtel,"[{'firstname': 'Matt', 'middlename': None, 'lastname': 'Richtel', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,dementia,
Two video portraits of aging parents.,https://newoldage.blogs.nytimes.com/2012/07/06/how-they-were-and-where-it-ended/,Two video portraits of aging parents.,"“I need to have something when she’s gone,” Maggie Steber says as images of her aged mother – looking alternately angry, beatific and simply lost – fill the screen. “Some people write memoirs. We photograph, so we don’t forget.”",The New York Times,[],"[{'name': 'subject', 'value': 'Elder Care', 'rank': 1, 'major': 'N'}]",2012-07-06T19:04:28+0000,article,,Health,News,nyt://article/c7c595c4-2180-5bdc-814f-e3d445c84957,606,nyt://article/c7c595c4-2180-5bdc-814f-e3d445c84957,"How They Were, and Where It Ended",The New Old Age,,,,,,By Paula Span,"[{'firstname': 'Paula', 'middlename': None, 'lastname': 'Span', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,dementia,
"Here are some tips for photographing your loved one now, so you can remember the person you have come to know so intimately over these years of caregiving.",https://newoldage.blogs.nytimes.com/2012/10/26/how-to-shoot-a-photo-to-remember/,"Here are some tips for photographing your loved one now, so you can remember the person you have come to know so intimately over these years of caregiving.","Sometimes the realization comes almost too late — you sense that your parents or other loved ones may soon be gone, and it dawns on you that you don’t have any recent photos to remember them by. ",The New York Times,[],"[{'name': 'subject', 'value': 'Elderly', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Families and Family Life', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Photography', 'rank': 3, 'major': 'N'}]",2012-10-26T20:38:34+0000,article,,Health,News,nyt://article/9ae52a3a-d047-52b3-a792-4f1b3671c1ca,1525,nyt://article/9ae52a3a-d047-52b3-a792-4f1b3671c1ca,How to Shoot a Photo to Remember,The New Old Age,,,,,,By Susan Seliger,"[{'firstname': 'Susan', 'middlename': None, 'lastname': 'Seliger', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,dementia,
Abbott Laboratories said it reached an agreement with the federal government and most states to pay $1.6 billion in connection with its marketing of the anti-seizure drug Depakote.,https://www.nytimes.com/2012/05/08/business/abbott-to-pay-1-6-billion-over-illegal-marketing.html,Abbott Laboratories said it reached an agreement with the federal government and most states to pay $1.6 billion in connection with its marketing of the anti-seizure drug Depakote.,WASHINGTON — The pharmaceutical company Abbott Laboratories said on Monday that it had reached an agreement with the federal and nearly all state governments to pay $1.6 billion in connection with its illegal marketing of the anti-seizure drug Depakote.,The New York Times,[],"[{'name': 'subject', 'value': 'Suits and Litigation', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Seizures (Medical)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Drugs (Pharmaceuticals)', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Abbott Laboratories', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Food and Drug Administration', 'rank': 5, 'major': 'N'}]",2012-05-07T18:43:06+0000,article,Business,Business Day,News,nyt://article/c3a3e3db-c49b-5d66-a4d3-160624ad0e56,662,nyt://article/c3a3e3db-c49b-5d66-a4d3-160624ad0e56,Abbott Settles Marketing Lawsuit,,,Abbott Settles Marketing Lawsuit,,,,By Michael S. Schmidt and Katie Thomas,"[{'firstname': 'Michael', 'middlename': 'S.', 'lastname': 'Schmidt', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Katie', 'middlename': None, 'lastname': 'Thomas', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}]",,B,1,dementia,
"Families facing a diagnosis of the disease can only ask: Should they live their lives differently, get their affairs in order, join a clinical trial of an experimental drug?",https://www.nytimes.com/2012/11/16/health/for-alzheimers-detection-advances-outpace-treatment-options.html,"Families facing a diagnosis of the disease can only ask: Should they live their lives differently, get their affairs in order, join a clinical trial of an experimental drug?","When Awilda Jimenez started forgetting things last year, her husband, Edwin, felt a shiver of dread. Her mother had developed Alzheimer’s in her 50s. Could his wife, 61, have it, too? ",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/16/us/JP-SCAN/JP-SCAN-articleLarge.jpg', 'height': 330, 'width': 600, 'legacy': {'xlarge': 'images/2012/11/16/us/JP-SCAN/JP-SCAN-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 330}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/16/us/JP-SCAN/JP-SCAN-blog480.jpg', 'height': 320, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/16/us/JP-SCAN/JP-SCAN-jumbo.jpg', 'height': 683, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/16/us/JP-SCAN/JP-SCAN-popup.jpg', 'height': 433, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'superJumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/16/us/JP-SCAN/JP-SCAN-superJumbo.jpg', 'height': 1365, 'width': 2048, 'legacy': {}, 'subType': 'superJumbo', 'crop_name': 'superJumbo'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/16/us/JP-SCAN/JP-SCAN-articleInline.jpg', 'height': 127, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/16/us/JP-SCAN/JP-SCAN-sfSpan.jpg', 'height': 263, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/16/us/JP-SCAN/JP-SCAN-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2012/11/16/us/JP-SCAN/JP-SCAN-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}, {'rank': 0, 'subtype': 'thumbLarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/16/us/JP-SCAN/JP-SCAN-thumbLarge.jpg', 'height': 150, 'width': 150, 'legacy': {}, 'subType': 'thumbLarge', 'crop_name': 'thumbLarge'}]","[{'name': 'subject', 'value': 'Brain', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Memory', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Long-Term Care Insurance', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Health Insurance and Managed Care', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 6, 'major': 'N'}]",2012-11-16T03:18:14+0000,article,National,Health,News,nyt://article/66b02d60-f45c-5350-8e7f-46d7b2124ca9,1281,nyt://article/66b02d60-f45c-5350-8e7f-46d7b2124ca9,"For Alzheimer’s, Detection Advances Outpace Treatment Options",,,"For Alzheimer’s, Detection Advances Outpace Treatment Options",,,,By Gina Kolata,"[{'firstname': 'Gina', 'middlename': None, 'lastname': 'Kolata', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,1,dementia,
