abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,subsection_name,slideshow_credits,query_consulta
Mr. Taylor’s projects helped shape skylines in several Southern metropolitan areas.,https://www.nytimes.com/2008/01/11/business/11taylor.html,Mr. Taylor’s projects helped shape skylines in several Southern metropolitan areas.,"Charles M. Taylor, one of the major real estate developers of Buckhead, an affluent northern section of Atlanta, where high-rise office towers, condominium buildings and boutique malls dot a landscape of mansions tucked into forests, died Saturday at his home in Buckhead. He was 78.",B,6,The New York Times,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/01/11/business/11taylor.190.jpg', 'height': 240, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/01/11/business/11taylor.75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/01/11/business/11taylor.75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Office Buildings and Commercial Properties', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Atlanta (Ga)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Real Estate', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 4, 'major': 'N'}]",2008-01-11T05:00:00+0000,article,Business,Business Day,Obituary (Obit),nyt://article/bf957bab-6654-57d4-bd8a-5a87c38f3169,467,nyt://article/bf957bab-6654-57d4-bd8a-5a87c38f3169,"Charles M. Taylor, 78, Atlanta Real Estate Developer, Is Dead",,,"Charles M. Taylor, 78, Atlanta Real Estate Developer",,,,By Dennis Hevesi,"[{'firstname': 'Dennis', 'middlename': None, 'lastname': 'Hevesi', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,Alzheimer
When is it safe to take a COX-2 inhibitor?,https://consults.blogs.nytimes.com/2008/05/01/pain-relief-without-the-heart-risks/,When is it safe to take a COX-2 inhibitor?,"To many graying baby boomers coping with joint or muscle pain, painkillers like rofecoxib (Vioxx) and celecoxib (Celebrex) once seemed a godsend. The advent of these inhibitors of the COX-2 enzyme held the hope of pain relief with less damage to the stomach than aspirin can cause, a possibility borne out to some extent by clinical studies. Many patients found them more effective than traditional nonsteroidal anti-inflammatory drugs, or NSAIDs.",,,The New York Times,[],[],2008-05-01T17:10:00+0000,article,,Health,News,nyt://article/594be4cd-a416-5ea3-afa7-ce39b4a54dd8,522,nyt://article/594be4cd-a416-5ea3-afa7-ce39b4a54dd8,Pain Relief Without the Heart Risks,Consults,,,,,,"By Peter Libby, M.D","[{'firstname': 'Peter', 'middlename': None, 'lastname': 'Libby', 'qualifier': 'M.D', 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,Alzheimer
One Japanese and two American scientists have received the 2008 Nobel Prize in Chemistry for taking the ability of some jellyfish to glow green and transforming it into a ubiquitous tool of molecular biology to watch the dance of living cells and the proteins within them.,https://www.nytimes.com/2008/10/08/world/americas/08iht-nobel.4.16795243.html,,One Japanese and two American scientists have received the 2008 Nobel Prize in Chemistry for taking the ability of some jellyfish to glow green and transforming it into a ubiquitous tool of molecular biology to watch the dance of living cells and the proteins within them.,,,International Herald Tribune,[],[],2008-10-08T05:00:00+0000,article,IHT News,World,News,nyt://article/17c63999-59ca-5e5a-891d-0ed24a73bc7a,472,nyt://article/17c63999-59ca-5e5a-891d-0ed24a73bc7a,Chemistry Nobel awarded for work on fluorescent protein,,,Chemistry Nobel awarded for work on fluorescent protein,,,,By Kenneth Chang,"[{'firstname': 'Kenneth', 'middlename': None, 'lastname': 'Chang', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Americas,,Alzheimer
One Japanese and two American scientists have received the 2008 Nobel Prize in Chemistry for taking the ability of some jellyfish to glow green and transforming it into a ubiquitous tool of molecular biology to watch the dance of living cells and the proteins within them.,https://www.nytimes.com/2008/10/08/health/08iht-nobel.3.16786246.html,,One Japanese and two American scientists have received the 2008 Nobel Prize in Chemistry for taking the ability of some jellyfish to glow green and transforming it into a ubiquitous tool of molecular biology to watch the dance of living cells and the proteins within them.,,,International Herald Tribune,[],[],2008-10-08T05:00:00+0000,article,IHT News,Health,News,nyt://article/549d425b-9837-5e63-9df6-ebcc4fe3dc23,497,nyt://article/549d425b-9837-5e63-9df6-ebcc4fe3dc23,Chemistry Nobel awarded for work on fluorescent protein,,,Chemistry Nobel awarded for work on fluorescent protein,,,,By Kenneth Chang,"[{'firstname': 'Kenneth', 'middlename': None, 'lastname': 'Chang', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,Alzheimer
Scientific evidence is accumulating that Mediterranean fare is optimal for health.,https://consults.blogs.nytimes.com/2008/10/03/blogs/03consults-whats-th23.html,Scientific evidence is accumulating that Mediterranean fare is optimal for health.,"(Photo: Diners at an outdoor cafe in Corsica, France. (Ed Alcock for The New York Times))   What exactly do doctors mean by a ""healthy diet""?  Many of us consider the Mediterranean diet to be the closest thing known to an ideal meal plan, rich in vegetables, fruits, legumes, cereals, fish, olive oil and, yes, a bit of red wine with meals. Compared to traditional American menu -- high in red meat and in butter and other dairy products -- the Mediterranean diet is lower in saturated fat, more varied and often more satisfying.  Decades worth of research also suggests that this way of eating is healthier. Many studies have documented reduced rates of heart disease and cancer among those adhering to a Mediterranean diet, compared to those eating more red meat and dairy-based regimens. Most of these studies have involved observations rather than actual intervention trials, however, and they have varied in size.  Now the British Medical Journal has published a systematic compilation of a dozen of the most methodologically sound of these observational studies, which included over 1.5 million people followed for up to eighteen years, analyzing cardiovascular consequences and some other important health outcomes. This large meta-analysis found decreased cardiovascular death as well as cancer mortality, and a lowered incidence of Parkinson's disease and Alzheimer's disease, in those following the Mediterranean diet versus those on other diets.   While such meta-analyses have limitations and cannot be considered as persuasive as large, randomized intervention trials, the new study further supports the idea that the Mediterranean diet can confer important health benefits.  Different diets abound, many even promoted by physicians. But it's a mistake to think of a diet as a temporary measure; instead, it is a lifetime commitment to healthy choices. Need to lose weight now? Don't rush. Take comfort in knowing that even a modest incremental reduction can confer significant health benefits, lowering your risk of heart disease or diabetes. Crash diets only set us up for ""yo-yo"" weight loss and regain.   Whatever eating habits you adopt must be sustainable over the long term. Many researchers regard this as the Mediterranean diet's greatest strength. You can stick to it, and like it, year after year.  How sad, then, to learn that a diet that whose adherents were among the longest-lived in the world is now fading from view. The governments of Greece, Italy, Spain and Morocco have asked that UNESCO designate the Mediterranean diet an ""intangible piece of cultural heritage."" But as The Times recently reported, fast food is proliferating across the Mediterranean region, threatening to propagate a U.S.-style obesity epidemic.   In Greece, three-quarters of the adult population is now overweight or obese, and at increasing risk for diabetes, heart disease and arthritis, among other maladies. ""Much of the highly praised diet didn't exist any more,'' said a senior economist at the United Nations who conducted a recent survey of regional eating habits. ''It has become just a notion.'' Rather than turning our backs on this traditional diet, the new data suggest we could all derive substantial health benefits from it.   [For some dishes with a Mediterranean flair, check out The Times' Recipes for Health. -- Eds.]  ",,,The New York Times,[],[],2008-10-03T15:33:16+0000,article,None,Blogs,Web Log,nyt://article/46cb2538-6356-51c0-80eb-5f626098f443,528,nyt://article/46cb2538-6356-51c0-80eb-5f626098f443,What's the Healthiest Diet of All?,Consults,,What&#39;s the Healthiest Diet of All?,,,,"By PETER LIBBY, M.D","[{'firstname': 'Peter', 'middlename': None, 'lastname': 'LIBBY', 'qualifier': 'M.D', 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,Alzheimer
Anecdotal reports suggest that cholesterol-lowering statin drugs can trigger cognitive problems.,https://well.blogs.nytimes.com/2008/02/13/do-statins-make-you-stupid/,Anecdotal reports suggest that cholesterol-lowering statin drugs can trigger cognitive problems.,Cholesterol-lowering statin drugs have had a rough time of it lately. ,,,The New York Times,[],[],2008-02-13T16:45:01+0000,article,Science,Health,News,nyt://article/8a37b3c9-2739-5b41-8ed1-dbb444ba161c,458,nyt://article/8a37b3c9-2739-5b41-8ed1-dbb444ba161c,Do Statins Make You Stupid?,Well,,,,,,By Tara Parker-Pope,"[{'firstname': 'Tara', 'middlename': None, 'lastname': 'Parker-Pope', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,Alzheimer
"STOCKHOLM — Two scientists from the United States and one from Japan were awarded the Nobel Prize in Chemistry on Wednesday for the discovery and development of a brightly glowing protein first seen in jellyfish, work that has helped scientists study how cancer cells spread.",https://www.nytimes.com/2008/10/08/world/americas/08iht-nobel.1.16777913.html,,"STOCKHOLM — Two scientists from the United States and one from Japan were awarded the Nobel Prize in Chemistry on Wednesday for the discovery and development of a brightly glowing protein first seen in jellyfish, work that has helped scientists study how cancer cells spread.",,,International Herald Tribune,[],[],2008-10-08T05:00:00+0000,article,IHT News,World,News,nyt://article/de247675-15df-5227-acd0-acd25861d2ff,502,nyt://article/de247675-15df-5227-acd0-acd25861d2ff,Chemistry Nobel awarded for work on fluorescent protein,,,Chemistry Nobel awarded for work on fluorescent protein,,,,,[],,Americas,,Alzheimer
"Professionals call it ""elderspeak,"" the sweetly belittling form of address that has always rankled older people: the doctor who talks to their children rather than to them about their health; the store clerk who assumes that an older person does not know how to work a computer, or needs to be addressed slowly or in a loud voice. Then there are those who address any elderly person as ""dear.""",https://www.nytimes.com/2008/10/07/world/americas/07iht-health.4.16761679.html,,"Professionals call it ""elderspeak,"" the sweetly belittling form of address that has always rankled older people: the doctor who talks to their children rather than to them about their health; the store clerk who assumes that an older person does not know how to work a computer, or needs to be addressed slowly or in a loud voice. Then there are those who address any elderly person as ""dear.""",,,International Herald Tribune,[],[],2008-10-07T05:00:00+0000,article,IHT News,World,News,nyt://article/5fd9774e-4746-56c5-a4bf-52eb90b12a1e,1154,nyt://article/5fd9774e-4746-56c5-a4bf-52eb90b12a1e,Too much sweet talk isn't healthy for elderly,,,Too much sweet talk isn't healthy for elderly,,,,By John Leland,"[{'firstname': 'John', 'middlename': None, 'lastname': 'Leland', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Americas,,Alzheimer
"John C. Welton, 60, who atrophied from the chest down after contracting polio as a boy, sees to dying patients at Montefiore Medical Center in the Bronx.",https://www.nytimes.com/2008/05/05/nyregion/05assistant.html,"John C. Welton, 60, who atrophied from the chest down after contracting polio as a boy, sees to dying patients at Montefiore Medical Center in the Bronx.","This is a story about health care that is not universal. There is a name attached: John C. Welton, from the Bronx, father of two and husband to Vivian.",B,4,The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/05/05/nyregion/05assitant.large1.jpg', 'height': 450, 'width': 323, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/05/05/nyregion/05assistant.1902.jpg', 'height': 265, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/05/05/nyregion/assistant395.jpg', 'height': 285, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/05/05/nyregion/05assistant.751.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/05/05/nyregion/05assistant.751.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'organizations', 'value': 'Montefiore Medical Center', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Death and Dying', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Poliomyelitis', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Nursing and Nurses', 'rank': 5, 'major': 'N'}]",2008-05-05T04:00:00+0000,article,Metro,New York,News,nyt://article/ddc6847f-004c-54b6-9e68-781e1cfc495f,1154,nyt://article/ddc6847f-004c-54b6-9e68-781e1cfc495f,"For Physician Assistant, Empathy Goes Two Ways",,,"For Physician Assistant, Empathy Goes Two Ways",,,,By Anthony Ramirez,"[{'firstname': 'Anthony', 'middlename': None, 'lastname': 'Ramirez', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,Alzheimer
"Professionals call it elderspeak, the sweetly belittling form of address that has always rankled older people: the doctor who talks to their child rather than to them about their health; the store clerk who assumes that an older person does not know how to work a computer, or needs to be addressed slowly or in a loud voice. Then there are those who address any elderly person as ""dear.""",https://www.nytimes.com/2008/10/07/world/americas/07iht-07aging.16738425.html,,"Professionals call it elderspeak, the sweetly belittling form of address that has always rankled older people: the doctor who talks to their child rather than to them about their health; the store clerk who assumes that an older person does not know how to work a computer, or needs to be addressed slowly or in a loud voice. Then there are those who address any elderly person as ""dear.""",,,International Herald Tribune,[],[],2008-10-07T05:00:00+0000,article,IHT News,World,News,nyt://article/92de0fa4-2d46-5e8c-8fd2-a09c9893f973,1144,nyt://article/92de0fa4-2d46-5e8c-8fd2-a09c9893f973,"In 'sweetie' and 'dear,' a hurtful message for the elderly",,,"In 'sweetie' and 'dear,' a hurtful message for the elderly",,,,By John Leland,"[{'firstname': 'John', 'middlename': None, 'lastname': 'Leland', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Americas,,Alzheimer
Studies find that speaking to older people in the belittling style known as elderspeak can have health consequences.,https://www.nytimes.com/2008/10/07/us/07aging.html,Studies find that speaking to older people in the belittling style known as elderspeak can have health consequences.,"Professionals call it elderspeak, the sweetly belittling form of address that has always rankled older people: the doctor who talks to their child rather than to them about their health; the store clerk who assumes that an older person does not know how to work a computer, or needs to be addressed slowly or in a loud voice. Then there are those who address any elderly person as “dear.” ",A,1,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/10/07/us/07aging_span.jpg', 'height': 330, 'width': 600, 'legacy': {'xlarge': 'images/2008/10/07/us/07aging_span.jpg', 'xlargewidth': 600, 'xlargeheight': 330}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/10/07/us/07aging_span.jpg', 'height': 330, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/10/07/us/07aging_395.jpg', 'height': 263, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/10/07/us/07aging_75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/10/07/us/07aging_75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'organizations', 'value': 'Yale University', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Psychology and Psychologists', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'English Language', 'rank': 6, 'major': 'N'}]",2008-10-07T00:55:27+0000,article,National,U.S.,News,nyt://article/a6cc3baf-1f08-5af8-bd9d-0836b95a29ae,1208,nyt://article/a6cc3baf-1f08-5af8-bd9d-0836b95a29ae,"In ‘Sweetie’ and ‘Dear,’ a Hurt for the Elderly",,,"In ‘Sweetie’ and ‘Dear,’ a Hurt Beyond Insult for the Elderly",,,,By John Leland,"[{'firstname': 'John', 'middlename': None, 'lastname': 'Leland', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,Alzheimer
"LONDON — Preventing obesity and smoking can save lives, but it does not save money, according to a new report.",https://www.nytimes.com/2008/02/05/health/05iht-obese.1.9748884.html,,"LONDON — Preventing obesity and smoking can save lives, but it does not save money, according to a new report.",,,International Herald Tribune,[],[],2008-02-05T05:00:00+0000,article,IHT News,Health,News,nyt://article/446284ac-326c-57b9-a183-aa8988ff2039,578,nyt://article/446284ac-326c-57b9-a183-aa8988ff2039,"Smokers and the obese cheaper to care for, study shows",,,"Smokers and the obese cheaper to care for, study shows",,,,,[],,,,Alzheimer
"At Tuesday’s opening performance of a six-week engagement at the Café Carlyle Judy Collins's voice, clear and vibrato free but inflected with delicate little shivers, stole through the room like a shaft of light falling through a stained-glass window.",https://www.nytimes.com/2008/01/24/arts/music/24judy.html,"At Tuesday’s opening performance of a six-week engagement at the Café Carlyle Judy Collins's voice, clear and vibrato free but inflected with delicate little shivers, stole through the room like a shaft of light falling through a stained-glass win...","“The moon, like to a silver bow new-bent in heaven,” reads Shakespeare’s poetic description of an enchanted evening in “A Midsummer Night’s Dream.” Those words also evoke the sound and aura of the singer Judy Collins on a midwinter night. At Tuesday’s opening performance of a six-week engagement at the Café Carlyle her voice, clear and vibrato free but inflected with delicate little shivers, stole through the room like a shaft of light falling through a stained-glass window. When surrendering to the ethereal spell she casts, your impulse is to turn your head up, close your eyes and tune in to messages from far, far away. ",E,5,The New York Times,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/01/24/arts/judy190.jpg', 'height': 240, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/01/24/arts/judy75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/01/24/arts/judy75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'persons', 'value': 'Collins, Judy', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Cafe Carlyle', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Music', 'rank': 3, 'major': 'N'}]",2008-01-24T05:00:00+0000,article,Culture,Arts,Review,nyt://article/16ff4e1e-f6be-57f0-a2d0-fdd3a01b8ace,490,nyt://article/16ff4e1e-f6be-57f0-a2d0-fdd3a01b8ace,All Sides Now of a Seasoned Performer,Music Review,,All Sides Now Of a Seasoned Performer,,,,By Stephen Holden,"[{'firstname': 'Stephen', 'middlename': None, 'lastname': 'Holden', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Music,,Alzheimer
Dr. Kemp’s lawsuit against the University of Georgia in the 1980s drew national attention to preferential treatment of college athletes unable to meet academic standards.,https://www.nytimes.com/2008/12/12/education/12kemp.html,Dr. Kemp’s lawsuit against the University of Georgia in the 1980s drew national attention to preferential treatment of college athletes unable to meet academic standards.," Jan Kemp, a former English instructor whose lawsuit against the University of Georgia in the 1980s drew national attention to preferential treatment of college athletes unable to meet academic standards, died on Dec. 4 in Athens, Ga. She was 59.",B,11,The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/12/12/sports/12kemp.650.jpg', 'height': 450, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/12/12/sports/12kemp.190.jpg', 'height': 250, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/12/12/sports/12kemp.75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/12/12/sports/12kemp.75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Cheating', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'College Athletics', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Grading of Students', 'rank': 4, 'major': 'N'}]",2008-12-12T02:10:16+0000,article,Sports,Education,Obituary (Obit),nyt://article/3fb8d7ff-22e9-5a67-842b-5b369c656b2a,508,nyt://article/3fb8d7ff-22e9-5a67-842b-5b369c656b2a,Jan Kemp Dies at 59; Exposed Fraud in Grades of Players,,,"Jan Kemp, 59, Instructor Who Uncovered Fraud",,,,By Richard Goldstein,"[{'firstname': 'Richard', 'middlename': None, 'lastname': 'Goldstein', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,Alzheimer
"Hugo Claus, one of Belgium's most renowned authors despite his often caustic portrayals of his nation, particularly its ambiguous role in World War II, died on March 19. He was 78.",https://www.nytimes.com/2008/03/30/news/30iht-deaths.4.11536748.html,,"Hugo Claus, one of Belgium's most renowned authors despite his often caustic portrayals of his nation, particularly its ambiguous role in World War II, died on March 19. He was 78.",,,International Herald Tribune,[],[],2008-03-30T05:00:00+0000,article,IHT News,World,News,nyt://article/e40508da-4682-5481-a31e-88b4b10cc26c,501,nyt://article/e40508da-4682-5481-a31e-88b4b10cc26c,"Hugo Claus, often caustic Belgium author, dies at 78",,,"Hugo Claus, often caustic Belgium author, dies at 78",,,,By Dennis Hevesi,"[{'firstname': 'Dennis', 'middlename': None, 'lastname': 'Hevesi', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,Alzheimer
"BOSTON — Is Esther Dyson, the technology venture capitalist who is training to be an astronaut, genetically predisposed to a massive heart attack at high levels of exertion, as a million Americans are?",https://www.nytimes.com/2008/10/20/health/20iht-gene.1.17095924.html,,"BOSTON — Is Esther Dyson, the technology venture capitalist who is training to be an astronaut, genetically predisposed to a massive heart attack at high levels of exertion, as a million Americans are?",,,International Herald Tribune,[],[],2008-10-20T05:00:00+0000,article,IHT News,Health,News,nyt://article/129f5471-5f14-5475-b661-3df83333933f,579,nyt://article/129f5471-5f14-5475-b661-3df83333933f,Controversial project bares all genetic secrets,,,Controversial project bares all genetic secrets,,,,By Amy Harmon,"[{'firstname': 'Amy', 'middlename': None, 'lastname': 'Harmon', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,Alzheimer
"A movement to discredit the name of Dr. Friedrich Wegener, who discovered a rare blood vessel inflammation in 1936, is beginning to gather momentum.",https://www.nytimes.com/2008/01/22/health/22dise.html,"A movement to discredit the name of Dr. Friedrich Wegener, who discovered a rare blood vessel inflammation in 1936, is beginning to gather momentum."," What’s in a disease’s name? Long-hidden shame, perhaps.",F,5,The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/01/22/science/22weg.lg.jpg', 'height': 596, 'width': 450, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/01/22/science/22weg.190.jpg', 'height': 252, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/01/22/science/22wege.75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/01/22/science/22wege.75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Medicine and Health', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Blood Vessels', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Nazi Policies Toward Jews and Minorities', 'rank': 3, 'major': 'N'}]",2008-01-22T05:00:00+0000,article,Science,Health,News,nyt://article/a3face83-0229-5411-9f78-f1c6bad16b02,546,nyt://article/a3face83-0229-5411-9f78-f1c6bad16b02,A Nazi Past Casts a Pall on Name of a Disease,,,A Nazi Past Casts a Pall On Name Of a Disease,,,,By Barnaby J. Feder,"[{'firstname': 'Barnaby', 'middlename': 'J.', 'lastname': 'Feder', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,Alzheimer
"What's in a disease's name? Long-hidden shame, perhaps.",https://www.nytimes.com/2008/01/22/health/22iht-22dise.9406986.html,,"What's in a disease's name? Long-hidden shame, perhaps.",,,International Herald Tribune,[],[],2008-02-02T05:00:00+0000,article,IHT News,Health,News,nyt://article/391794c5-6a88-5fec-924a-769e02365340,524,nyt://article/391794c5-6a88-5fec-924a-769e02365340,A Nazi past casts a pall on name of a disease,,,A Nazi past casts a pall on name of a disease,,,,By Barnaby J. Feder,"[{'firstname': 'Barnaby', 'middlename': 'J.', 'lastname': 'Feder', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,Alzheimer
Advice on end-of-life care that could have eased my mother’s last days.,https://newoldage.blogs.nytimes.com/2008/12/15/what-an-end-of-life-advisor-could-have-told-me/,Advice on end-of-life care that could have eased my mother’s last days.,"If only I’d had the 800 number for Compassion & Choices in the last difficult months of my mother’s life. She was paralyzed, incontinent and unable to speak. I watched the light leave her eyes and her body crumple like a rag doll’s, and I knew that one day soon she would say, “Enough.” ",,,The New York Times,[],[],2008-12-15T15:30:08+0000,article,Science,Health,News,nyt://article/518c7be7-b21e-5011-83b7-006787fc3033,1309,nyt://article/518c7be7-b21e-5011-83b7-006787fc3033,What an End-of-Life Adviser Could Have Told Me,The New Old Age,,,,,,By Jane Gross,"[{'firstname': 'Jane', 'middlename': None, 'lastname': 'Gross', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,Alzheimer
