abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,subsection_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,query_consulta
"Medications are overused for dementia, doctors say",https://www.nytimes.com/2008/06/26/health/26iht-snalz.1.13949574.html,,"Medications are overused for dementia, doctors say",,,International Herald Tribune,[],[],2008-06-24T05:00:00+0000,article,IHT News,Health,,News,nyt://article/00b21099-8007-5b25-a42a-383987128cbe,807,nyt://article/00b21099-8007-5b25-a42a-383987128cbe,Drugs and dementia: The perils of misuse,,,Drugs and dementia: The perils of misuse,,,,By Laurie Tarkan,"[{'firstname': 'Laurie', 'middlename': None, 'lastname': 'Tarkan', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
Researchers have found that older Americans were less likely to experience memory loss and other cognitive problems than they were a decade before.,https://www.nytimes.com/2008/02/26/health/research/26ment.html,Researchers have found that older Americans were less likely to experience memory loss and other cognitive problems than they were a decade before.,We’re not growing older. We’re growing sharper.,F,6,The New York Times,[],"[{'name': 'subject', 'value': 'Dementia', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Memory', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}]",2008-02-26T05:00:00+0000,article,Science,Health,Research,News,nyt://article/93e97487-c4d5-5690-a858-6cfa43e749ac,239,nyt://article/93e97487-c4d5-5690-a858-6cfa43e749ac,Mental Abilities: Dementia Percentages Decline for Elderly,Vital Signs,,Dementia Percentages Decline for Elderly,,,,By Eric Nagourney,"[{'firstname': 'Eric', 'middlename': None, 'lastname': 'Nagourney', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
"Problems with memory and thinking are less common among aging adults today than in the 1990s, a new study shows.",https://well.blogs.nytimes.com/2008/02/21/dementia-risk-may-be-dropping/,"Problems with memory and thinking are less common among aging adults today than in the 1990s, a new study shows.",Brain health among older Americans appears to be getting better.,,,The New York Times,[],[],2008-02-21T14:43:34+0000,article,Science,Health,,News,nyt://article/ce4fcc0f-b3c8-5a8b-993a-fa65fc478eb1,483,nyt://article/ce4fcc0f-b3c8-5a8b-993a-fa65fc478eb1,Dementia Risk May Be Dropping,Well,,,,,,By Tara Parker-Pope,"[{'firstname': 'Tara', 'middlename': None, 'lastname': 'Parker-Pope', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
"LONDON — Former Prime Minister Margaret Thatcher has been suffering from dementia for at least eight years and has often had to be reminded that her husband is dead, according to her daughter, Carol.",https://www.nytimes.com/2008/08/26/world/europe/26iht-26britain.15625304.html,,"LONDON — Former Prime Minister Margaret Thatcher has been suffering from dementia for at least eight years and has often had to be reminded that her husband is dead, according to her daughter, Carol.",,,International Herald Tribune,[],[],2008-08-26T05:00:00+0000,article,IHT News,World,Europe,News,nyt://article/0815d458-5f9f-55c7-924b-0c8300c75a21,461,nyt://article/0815d458-5f9f-55c7-924b-0c8300c75a21,Britain's Thatcher has dementia,,,Britain's Thatcher has dementia,,,,By Sarah Lyall,"[{'firstname': 'Sarah', 'middlename': None, 'lastname': 'Lyall', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
"People with a large pot belly in midlife are at increased risk for dementia in their later years, according to a new study.",https://www.nytimes.com/2008/04/01/health/research/01risk.html,"People with a large pot belly in midlife are at increased risk for dementia in their later years, according to a new study.","People with a large pot belly in midlife are at increased risk for dementia in their later years, according to a new study, and the bigger the belly the higher the risk.",F,6,The New York Times,[],"[{'name': 'subject', 'value': 'Dementia', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Weight', 'rank': 3, 'major': 'N'}]",2008-04-01T04:00:00+0000,article,Science,Health,Research,News,nyt://article/3d5768d5-9c94-5744-8216-07295fcc580b,248,nyt://article/3d5768d5-9c94-5744-8216-07295fcc580b,At Risk: Pot Belly in Midlife Is Linked to Dementia,Vital Signs,,AT RISK | Pot Belly in Midlife Is Linked to Dementia,,,,By Nicholas Bakalar,"[{'firstname': 'Nicholas', 'middlename': None, 'lastname': 'Bakalar', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
"LONDON — Former Prime Minister Margaret Thatcher has been suffering from dementia for at least the past eight years and has often had to be reminded that her husband is dead, according to her daughter, Carol.",https://www.nytimes.com/2008/08/26/world/europe/26iht-thatcher.1.15632725.html,,"LONDON — Former Prime Minister Margaret Thatcher has been suffering from dementia for at least the past eight years and has often had to be reminded that her husband is dead, according to her daughter, Carol.",,,International Herald Tribune,[],[],2008-08-26T05:00:00+0000,article,IHT News,World,Europe,News,nyt://article/deeb3978-2168-50f1-9f9a-0fd8dea8dcf0,455,nyt://article/deeb3978-2168-50f1-9f9a-0fd8dea8dcf0,Daughter reveals Thatcher's dementia,,,Daughter reveals Thatcher's dementia,,,,By Sarah Lyall,"[{'firstname': 'Sarah', 'middlename': None, 'lastname': 'Lyall', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
Researchers who put brighter lights into nursing homes have found that residents with dementia appear to suffer fewer symptoms.,https://www.nytimes.com/2008/06/18/health/18iht-17agin.13803023.html,,Researchers who put brighter lights into nursing homes have found that residents with dementia appear to suffer fewer symptoms.,,,International Herald Tribune,[],[],2008-06-18T05:00:00+0000,article,IHT News,Health,,News,nyt://article/34f6dfb3-ee3e-5588-b135-e45b52c8d2ab,199,nyt://article/34f6dfb3-ee3e-5588-b135-e45b52c8d2ab,Aging: Cue the lights and help dementia,,,Aging: Cue the lights and help dementia,,,,By Eric Nagourney,"[{'firstname': 'Eric', 'middlename': None, 'lastname': 'Nagourney', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
"Ramona Lamascola thought she was losing her 88-year-old mother to dementia. Instead, she was losing her to overmedication.",https://www.nytimes.com/2008/06/24/health/24iht-24deme.13933078.html,,"Ramona Lamascola thought she was losing her 88-year-old mother to dementia. Instead, she was losing her to overmedication.",,,International Herald Tribune,[],[],2008-06-24T05:00:00+0000,article,IHT News,Health,,News,nyt://article/e7290c3b-9662-5e17-9f73-5f81d8c448e2,1359,nyt://article/e7290c3b-9662-5e17-9f73-5f81d8c448e2,Doctors say medication is overused in dementia,,,Doctors say medication is overused in dementia,,,,By Laurie Tarkan,"[{'firstname': 'Laurie', 'middlename': None, 'lastname': 'Tarkan', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
Researchers who put brighter lights into nursing homes have found that residents with dementia appear to suffer fewer symptoms.,https://www.nytimes.com/2008/06/19/health/19iht-snvital.1.13772996.html,,Researchers who put brighter lights into nursing homes have found that residents with dementia appear to suffer fewer symptoms.,,,International Herald Tribune,[],[],2008-06-19T05:00:00+0000,article,IHT News,Health,,News,nyt://article/0bb0937c-6205-58a5-8921-aba4da0e0406,303,nyt://article/0bb0937c-6205-58a5-8921-aba4da0e0406,Bright lights may help people with dementia,,,Bright lights may help people with dementia,,,,By Eric Nagourney,"[{'firstname': 'Eric', 'middlename': None, 'lastname': 'Nagourney', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
"LONDON — Former Prime Minister Margaret Thatcher, once known as one of the world's most formidable political minds, has been suffering from dementia for the past seven years, according to her daughter, Carol.",https://www.nytimes.com/2008/08/25/world/europe/25iht-thatcher.3.15619500.html,,"LONDON — Former Prime Minister Margaret Thatcher, once known as one of the world's most formidable political minds, has been suffering from dementia for the past seven years, according to her daughter, Carol.",,,International Herald Tribune,[],[],2008-08-25T05:00:00+0000,article,IHT News,World,Europe,News,nyt://article/c8d43c6e-4ed2-5698-933a-d7bfa9c3b10e,389,nyt://article/c8d43c6e-4ed2-5698-933a-d7bfa9c3b10e,"Thatcher suffering from dementia, daughter says",,,"Thatcher suffering from dementia, daughter says",,,,,[],,dementia
"Ginkgo biloba, an herbal supplement widely used in the belief that it is good for memory and mental sharpness, appears to do nothing to prevent dementia or Alzheimer's disease, a new study says.",https://www.nytimes.com/2008/11/27/health/27iht-snvital.1.18138797.html,,"Ginkgo biloba, an herbal supplement widely used in the belief that it is good for memory and mental sharpness, appears to do nothing to prevent dementia or Alzheimer's disease, a new study says.",,,International Herald Tribune,[],[],2008-10-25T05:00:00+0000,article,IHT News,Health,,News,nyt://article/a5c44a6e-94da-5d6b-a066-b3b90a80442d,417,nyt://article/a5c44a6e-94da-5d6b-a066-b3b90a80442d,Ginkgo biloba appears to have no effect on dementia,,,Ginkgo biloba appears to have no effect on dementia,,,,By Eric Nagourney,"[{'firstname': 'Eric', 'middlename': None, 'lastname': 'Nagourney', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
