abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,slideshow_credits,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,print_section,print_page,subsection_name,query_consulta
"Facing dementia, one woman celebrates her 75th birthday. ",https://www.nytimes.com/video/science/1247467708301/sally-on-her-75th-birthday.html,"Facing dementia, one woman celebrates her 75th birthday. ","Facing dementia, one woman celebrates her 75th birthday. ",The New York Times,"[{'rank': 0, 'subtype': 'wide', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/04/26/science/8476_1_20100428noa_190x126.jpg', 'height': 126, 'width': 190, 'legacy': {'widewidth': 190, 'wideheight': 126, 'wide': 'images/2010/04/26/science/8476_1_20100428noa_190x126.jpg'}, 'subType': 'wide', 'crop_name': 'thumbWide'}, {'rank': 0, 'subtype': 'videoThumb', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/video/2010/04/26/8476_1_20100428noa_75x50.jpg', 'height': 50, 'width': 75, 'legacy': {}, 'subType': 'videoThumb', 'crop_name': 'videoThumb'}, {'rank': 0, 'subtype': 'videoSmall', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/video/2010/04/26/8476_1_20100428noa_500x281.jpg', 'height': 281, 'width': 500, 'legacy': {}, 'subType': 'videoSmall', 'crop_name': 'videoSmall'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/04/26/science/8476_1_20100428noa_75x75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/04/26/science/8476_1_20100428noa_75x75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Medicine and Health', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 3, 'major': 'N'}]",2010-04-26T18:24:10+0000,multimedia,Science,Science,Video,nyt://video/5e180381-84fe-5033-80fd-9e3e028c61dc,0,,nyt://video/5e180381-84fe-5033-80fd-9e3e028c61dc,Sally on Her 75th Birthday,,,,,,,None None,"[{'firstname': 'None', 'middlename': None, 'lastname': 'None', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,Alzheimer
Readers respond to a recent article. ,https://www.nytimes.com/2010/06/28/opinion/l28elderly.html,Readers respond to a recent article. ,To the Editor:,The New York Times,"[{'rank': 0, 'subtype': 'wide', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/06/27/opinion/27letters_art/27letters_art-thumbWide.jpg', 'height': 126, 'width': 190, 'legacy': {'widewidth': 190, 'wideheight': 126, 'wide': 'images/2010/06/27/opinion/27letters_art/27letters_art-thumbWide.jpg'}, 'subType': 'wide', 'crop_name': 'thumbWide'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/06/27/opinion/27letters_art/27letters_art-popup.jpg', 'height': 410, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/06/27/opinion/27letters_art/27letters_art-articleInline.jpg', 'height': 221, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/06/27/opinion/27letters_art/27letters_art-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/06/27/opinion/27letters_art/27letters_art-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Hospitals', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}]",2010-06-27T23:59:51+0000,article,Letters,Opinion,Letter,nyt://article/b7941157-da99-518b-8032-031df7e85db0,621,,nyt://article/b7941157-da99-518b-8032-031df7e85db0,When the Elderly Become Delusional,Letters,,When the Elderly Become Delusional,,,,,[],,A,18,,Alzheimer
A front-page article about a promising new study of Alzheimer’s carried a subhead that said “100% Accuracy Found in Study Results” and a lead paragraph that seemed to support the claim. The piece drew dissenting comments from a number of readers.,https://publiceditor.blogs.nytimes.com/2010/08/24/the-trouble-with-absolutes/,A front-page article about a promising new study of Alzheimer’s carried a subhead that said “100% Accuracy Found in Study Results” and a lead paragraph that seemed to support the claim. The piece drew dissenting comments from a number of readers.,"The new public editor’s blog opens with an entry in the field of science, something my mama told me never to do.",The New York Times,[],[],2010-08-24T21:33:42+0000,article,,Opinion,,nyt://article/50aa20ac-cd73-536d-9574-1ce782b8aaca,489,,nyt://article/50aa20ac-cd73-536d-9574-1ce782b8aaca,The Trouble With Absolutes,The Public Editor&#039;s Journal,,,,,,By Arthur S. Brisbane,"[{'firstname': 'Arthur', 'middlename': 'S.', 'lastname': 'Brisbane', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,Alzheimer
Solutions to wandering can be as simple as a sign on the door and as complex as personal GPS monitors.,https://www.nytimes.com/2010/05/05/us/05searchside.html,Solutions to wandering can be as simple as a sign on the door and as complex as personal GPS monitors.,"One Alzheimer’s wanderer in Arizona had lost much of his memory, but not, apparently, his interest in fashion: he never left the house without a beloved baseball cap on his head. So a trick the family used to keep the man around was to hide his caps.",The New York Times,[],"[{'name': 'subject', 'value': 'Dementia', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 3, 'major': 'N'}]",2010-05-05T00:53:25+0000,article,National,U.S.,News,nyt://article/ffd580e4-a63a-5ddc-b31f-3b302bface65,249,,nyt://article/ffd580e4-a63a-5ddc-b31f-3b302bface65,Resources and Technology to Help Caregivers Cope,,,Resources and Technology To Help Caregivers Cope,,,,By Kirk Johnson,"[{'firstname': 'Kirk', 'middlename': None, 'lastname': 'Johnson', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,3,,Alzheimer
"By studying an extended family in Colombia where Alzheimer’s is seen in the early 40s, scientists hope to find a treatment for Alzheimer’s patients worldwide.",https://www.nytimes.com/interactive/2010/06/02/health/research/colombia-alzheimers.html,"By studying an extended family in Colombia where Alzheimer’s is seen in the early 40s, scientists hope to find a treatment for Alzheimer’s patients worldwide.","By studying an extended family in Colombia where Alzheimer’s is seen in the early 40s, scientists hope to find a treatment for Alzheimer’s patients worldwide.",The New York Times,[],[],2010-06-02T03:11:29+0000,multimedia,Health,Health,Interactive Feature,nyt://interactive/1c870857-2fac-51fd-ad5f-b0c6a778d5bd,0,,nyt://interactive/1c870857-2fac-51fd-ad5f-b0c6a778d5bd,The Vanishing Mind,,,,,,,,[],,,,Research,Alzheimer
"Robert B. Schaefer, a retired F.B.I. agent, answers questions from readers about how to help dementia patients prone to wandering.",https://newoldage.blogs.nytimes.com/2010/05/04/readers-questions-dementia-and-wandering/,"Robert B. Schaefer, a retired F.B.I. agent, answers questions from readers about how to help dementia patients prone to wandering.","The correspondent Kirk Johnson reports in Tuesday’s Times that frequent searches for people with dementia or Alzheimer’s disease are fueling a need to retrain emergency workers, police and volunteers around the country. They must throw out just about every generally accepted idea when hunting for people who are, in many ways, lost from the inside out.",The New York Times,[],[],2010-05-05T00:58:38+0000,article,Science,Health,,nyt://article/16d17c5a-189c-5a23-9d8e-545e9c4af9f8,1254,,nyt://article/16d17c5a-189c-5a23-9d8e-545e9c4af9f8,Readers’ Questions: Dementia and Wandering,The New Old Age,,,,,,By The New York Times,[],The New York Times,,,,Alzheimer
"Writers remember the people in their lives with Alzheimer’s, and the result is a potent, poignant book.",https://newoldage.blogs.nytimes.com/2010/04/09/poets-of-dementia/,"Writers remember the people in their lives with Alzheimer’s, and the result is a potent, poignant book.","Nearly nine years ago, the poet and essayist Holly J. Hughes’s 75-year-old mother died from Alzheimer’s disease. Her mother’s decline had been “a slow process of subtraction, as we lost her one brain cell, one synapse at a time,” Ms. Hughes writes in the preface to a new collection of poetry about this rampaging disease. “As with any grief that feels unspeakable, I turned to poetry.”",The New York Times,[],[],2010-04-09T13:00:10+0000,article,Science,Health,,nyt://article/15740bad-76bd-5e06-aff4-96f723b5efbe,369,,nyt://article/15740bad-76bd-5e06-aff4-96f723b5efbe,Poets of Dementia,The New Old Age,,,,,,By Paula Span,"[{'firstname': 'Paula', 'middlename': None, 'lastname': 'Span', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,Alzheimer
"Dianne Romano is the principal care giver for her mother, who has Alzheimer's, and her brother, who has a brain injury. When Ms. Romano was evicted, The Neediest Cases Fund helped.",https://www.nytimes.com/video/nyregion/1248069380325/neediest-when-a-caregiver-needs-help.html,"Dianne Romano is the principal care giver for her mother, who has Alzheimer's, and her brother, who has a brain injury. When Ms. Romano was evicted, The Neediest Cases Fund helped.","Dianne Romano is the principal care giver for her mother, who has Alzheimer's, and her brother, who has a brain injury. When Ms. Romano was evicted, The Neediest Cases Fund helped.",The New York Times,"[{'rank': 0, 'subtype': 'wide', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/26/nyregion/10537_1_neediest-romano_190x126.jpg', 'height': 126, 'width': 190, 'legacy': {'widewidth': 190, 'wideheight': 126, 'wide': 'images/2010/11/26/nyregion/10537_1_neediest-romano_190x126.jpg'}, 'subType': 'wide', 'crop_name': 'thumbWide'}, {'rank': 0, 'subtype': 'videoThumb', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/video/2010/11/26/10537_1_neediest-romano_75x50.jpg', 'height': 50, 'width': 75, 'legacy': {}, 'subType': 'videoThumb', 'crop_name': 'videoThumb'}, {'rank': 0, 'subtype': 'videoSmall', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/video/2010/11/26/10537_1_neediest-romano_500x281.jpg', 'height': 281, 'width': 500, 'legacy': {}, 'subType': 'videoSmall', 'crop_name': 'videoSmall'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/26/nyregion/10537_1_neediest-romano_75x75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/11/26/nyregion/10537_1_neediest-romano_75x75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'organizations', 'value': 'New York Times Neediest Cases Fund', 'rank': 1, 'major': 'N'}]",2010-11-27T03:43:03+0000,multimedia,Metro,New York,Video,nyt://video/8e3cef84-e50e-5a60-84e4-0a2ac9f5d63b,0,,nyt://video/8e3cef84-e50e-5a60-84e4-0a2ac9f5d63b,Neediest | When A Caregiver Needs Help,,,,,,,Celina Fang,"[{'firstname': 'Celina', 'middlename': None, 'lastname': 'Fang', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,Alzheimer
How can society deal with the coming flood of Alzheimer’s patients?,https://roomfordebate.blogs.nytimes.com/2010/06/02/when-boomers-get-dementia/,How can society deal with the coming flood of Alzheimer’s patients?,"Updated, June 3, 1:05 p.m. | Marc E. Agronin, a geriatric psychiatrist, joins the discussion, pointing out the significant challenges to treating dementia patients.",The New York Times,[],[],2010-06-02T23:08:15+0000,article,,Opinion,,nyt://article/92fecd44-64c9-5201-829d-b1ba78178e8d,217,,nyt://article/92fecd44-64c9-5201-829d-b1ba78178e8d,When Boomers Get Dementia,Room for Debate,,,,,,By The Editors,[],The Editors,,,,Alzheimer
"Researchers have tested the Sensecam, which contains a digital camera and an accelerometer, as an aid to people with Alzheimer’s disease and other memory disorders.",https://www.nytimes.com/2010/03/09/health/09memory.html,"Researchers have tested the Sensecam, which contains a digital camera and an accelerometer, as an aid to people with Alzheimer’s disease and other memory disorders.","PITTSBURGH — On a cold, wet afternoon not long ago, Aron Reznick sat in the lounge of a home for the elderly here, his silver hair neatly combed, his memory a fog. He could not remember Thanksgiving dinner with his family, though when he was given a hint — “turkey” — it came back to him, vaguely, like a shadow in the moonlight.",The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/03/09/science/09memory_CA0/09memory_CA0-popup.jpg', 'height': 500, 'width': 472, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/03/09/science/09memory_CA0/09memory_CA0-articleInline.jpg', 'height': 245, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/03/09/science/09memory_CA0/09memory_CA0-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/03/09/science/09memory_CA0/09memory_CA0-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'organizations', 'value': 'Microsoft Corp', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Memory', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 6, 'major': 'N'}]",2010-03-08T21:02:16+0000,article,Science,Health,News,nyt://article/d1e83fa9-5295-5327-ad96-7cf2a7f00e45,893,,nyt://article/d1e83fa9-5295-5327-ad96-7cf2a7f00e45,A Little Black Box to Jog Failing Memory,,,A Little Black Box to Jog Failing Memory,,,,By Yudhijit Bhattacharjee,"[{'firstname': 'Yudhijit', 'middlename': None, 'lastname': 'Bhattacharjee', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,D,6,,Alzheimer
Larry King on the question: What would it take to go?,https://www.nytimes.com/2010/12/19/weekinreview/19backthen.html,Larry King on the question: What would it take to go?,"Larry King ended his run as the 9 p.m. fixture on CNN last week. Between his radio career and his stint on television, he did about 50,000 interviews. When Jacques Steinberg of The Times visited him in Beverly Hills in 2007, he had recently undergone a procedure for a clogged artery.",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/12/19/weekinreview/BACK-THEN/BACK-THEN-articleLarge.jpg', 'height': 350, 'width': 600, 'legacy': {'xlarge': 'images/2010/12/19/weekinreview/BACK-THEN/BACK-THEN-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 350}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/12/19/weekinreview/BACK-THEN/BACK-THEN-jumbo.jpg', 'height': 928, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/12/19/weekinreview/BACK-THEN/BACK-THEN-popup.jpg', 'height': 589, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/12/19/weekinreview/BACK-THEN/BACK-THEN-articleInline.jpg', 'height': 172, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/12/19/weekinreview/BACK-THEN/BACK-THEN-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/12/19/weekinreview/BACK-THEN/BACK-THEN-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]",[],2010-12-18T15:56:30+0000,article,WeekInReview,Week in Review,News,nyt://article/a1d134f5-059c-5cbb-9417-7357eacc92e1,165,,nyt://article/a1d134f5-059c-5cbb-9417-7357eacc92e1,Back Then: 2007,,,BACK THEN: 2007,,,,,[],,WK,4,,Alzheimer
"Mr. Burton won several Emmys for his productions, which focused on the struggle for African-American equality and the inner workings of American government,",https://www.nytimes.com/2011/01/01/arts/television/01burton.html,"Mr. Burton won several Emmys for his productions, which focused on the struggle for African-American equality and the inner workings of American government,","Philip Burton Jr., who wrote, produced and directed award-winning television documentaries about the struggle for African-American equality and the inner workings of American government, died on Dec. 24 in Santa Barbara, Calif. He was 76 and lived in Ojai, Calif.",The New York Times,"[{'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/01/01/arts/BURTON-obit/BURTON-obit-jumbo.jpg', 'height': 1024, 'width': 709, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/01/01/arts/BURTON-obit/BURTON-obit-popup.jpg', 'height': 500, 'width': 346, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/01/01/arts/BURTON-obit/BURTON-obit-articleInline.jpg', 'height': 275, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/01/01/arts/BURTON-obit/BURTON-obit-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2011/01/01/arts/BURTON-obit/BURTON-obit-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Blacks', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Black People', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Television', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Documentary Films and Programs', 'rank': 5, 'major': 'N'}]",2011-01-01T04:19:03+0000,article,Culture,Arts,Obituary (Obit),nyt://article/8e89e5e0-e4b6-524a-ae4f-63887123d28b,390,,nyt://article/8e89e5e0-e4b6-524a-ae4f-63887123d28b,"Philip Burton Jr., Documentarian, Dies at 76",,,"Philip Burton Jr., 76, TV Director",,,,By Daniel E. Slotnik,"[{'firstname': 'Daniel', 'middlename': 'E.', 'lastname': 'Slotnik', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,17,Television,Alzheimer
"The Tony Awards Administration Committee announced on Thursday that the playwright and director Alan Ayckbourn and the Tony Award-winning actress Marian Seldes had been chosen to receive Lifetime Achievement Awards. Mr. Ayckbourn, who has written more than 70 plays, is probably best known for the “The Norman Conquests,” which won the Tony Award for best revival of a play in 2009. Ms. Seldes, who made her Broadway debut in “Medea” in 1947, won as featured actress for “A Delicate Balance” in 1967. Another familiar face on Broadway, David Hyde Pierce, above, is being given the Isabelle Stevenson Award, which recognizes charitable and humanitarian work. He is being honored for his contributions toward finding a cure for Alzheimer’s disease.",https://www.nytimes.com/2010/04/23/theater/23arts-AYCKBOURNAND_BRF.html,,"The Tony Awards Administration Committee announced on Thursday that the playwright and director Alan Ayckbourn and the Tony Award-winning actress Marian Seldes had been chosen to receive Lifetime Achievement Awards. Mr. Ayckbourn, who has written more than 70 plays, is probably best known for the “The Norman Conquests,” which won the Tony Award for best revival of a play in 2009. Ms. Seldes, who made her Broadway debut in “Medea” in 1947, won as featured actress for “A Delicate Balance” in 1967. Another familiar face on Broadway, David Hyde Pierce, above, is being given the Isabelle Stevenson Award, which recognizes charitable and humanitarian work. He is being honored for his contributions toward finding a cure for Alzheimer’s disease.",The New York Times,[],[],2010-04-22T21:21:47+0000,article,Weekend,Theater,Brief,nyt://article/dadf0d15-9eb0-5f2c-90c9-14421c7f6483,120,,nyt://article/dadf0d15-9eb0-5f2c-90c9-14421c7f6483,Ayckbourn and Seldes Are Early Tony Winners,"Arts, Briefly",,Ayckbourn And Seldes Are Early Tony Winners,,,,By Patricia Cohen,"[{'firstname': 'Patricia', 'middlename': None, 'lastname': 'Cohen', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,C,4,,Alzheimer
Pressure is growing on the drug giant facing generic competition.,https://prescriptions.blogs.nytimes.com/2010/08/18/lilly-tries-to-reassure-hometown/,Pressure is growing on the drug giant facing generic competition.,"After Tuesday’s double dose of bad news for Eli Lilly, the pharmaceutical company bought a full-page advertisement in The Indianapolis Star on Wednesday to reassure its hometown supporters of a brighter future.",The New York Times,[],[],2010-08-18T19:38:35+0000,article,,Health,,nyt://article/afaf7475-a10d-5d62-8cc1-95665c75c0ea,261,,nyt://article/afaf7475-a10d-5d62-8cc1-95665c75c0ea,Lilly Tries to Reassure Hometown,Prescriptions,,,,,,By Duff Wilson,"[{'firstname': 'Duff', 'middlename': None, 'lastname': 'Wilson', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,Alzheimer
the legendary Hollywood beauty,https://www.nytimes.com/learning/general/onthisday/bday/1017.html,the legendary Hollywood beauty," Rita Hayworth, the legendary Hollywood beauty who rose to international fame in the 1940's and 1950's, died Thursday night, of Alzheimer's disease, in her Central Park West apartment in Manhattan. She was 68 years old. ",The New York Times,[],[],2010-10-14T19:45:44+0000,article,,The Learning Network,News,nyt://article/17a3ca1d-0491-58ee-a6b9-10c88deebab6,1627,,nyt://article/17a3ca1d-0491-58ee-a6b9-10c88deebab6,"Rita Hayworth, Movie Legend, Dies",OBITUARY,,,,,,By ALBIN KREBS,"[{'firstname': 'Albin', 'middlename': None, 'lastname': 'KREBS', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,Alzheimer
"The company will seek to develop nutritional products for diseases like diabetes, obesity, cardiovascular disease and Alzheimer’s.",https://www.nytimes.com/2010/09/28/business/global/28nestle.html,"The company will seek to develop nutritional products for diseases like diabetes, obesity, cardiovascular disease and Alzheimer’s.",Nestlé said on Monday that it planned to invest more than $500 million over the next decade to develop health and wellness products to help prevent and treat major ailments like diabetes and obesity. ,The New York Times,[],"[{'name': 'subject', 'value': 'Diet and Nutrition', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Nestle SA', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Drugs (Pharmaceuticals)', 'rank': 4, 'major': 'N'}]",2010-09-28T00:27:46+0000,article,Business,Business Day,News,nyt://article/2d99f050-4263-50aa-b327-fddcc13b88e7,494,,nyt://article/2d99f050-4263-50aa-b327-fddcc13b88e7,Nestlé to Expand Business in Health Care Nutrition,,,Nestlé to Expand Business in Health Care Nutrition,,,,By Matthew Saltmarsh,"[{'firstname': 'Matthew', 'middlename': None, 'lastname': 'Saltmarsh', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,B,3,Global Business,Alzheimer
"In “Lil’s 90th,” at Long Wharf Theater in New Haven, a look at how dementia can devastate even the most loving family.",https://www.nytimes.com/2010/01/24/nyregion/24theaterct.html,"In “Lil’s 90th,” at Long Wharf Theater in New Haven, a look at how dementia can devastate even the most loving family.","Sometimes, love is not all you need. In fact, it can be downright dangerous. Love abounds in the family depicted in Darci Picoult’s new play, “Lil’s 90th”; but the Eldridges are in big, big trouble anyway.",The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/01/24/nyregion/24theaterct_CA0/popup.jpg', 'height': 430, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/01/24/nyregion/24theaterct_CA0/articleInline.jpg', 'height': 125, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/01/24/nyregion/24theaterct_CA0/thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/01/24/nyregion/24theaterct_CA0/thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'organizations', 'value': 'Long Wharf Theater', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Margulies, David', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Theater', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Nielsen, Kristine', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Smith, Lois', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Blaemire, Nick', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Bonney, Jo', 'rank': 8, 'major': 'N'}]",2010-01-22T23:19:28+0000,article,Metro,New York,Review,nyt://article/f453a370-3eed-56f1-8b5d-13037e72706c,670,,nyt://article/f453a370-3eed-56f1-8b5d-13037e72706c,An Age When Love Needs a Safety Net,Theater Review | Connecticut,,An Age When Love Needs a Safety Net,,,,By Sylviane Gold,"[{'firstname': 'Sylviane', 'middlename': None, 'lastname': 'Gold', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,CT,9,,Alzheimer
A jazz singer grapples with her mother’s memory loss.,https://newoldage.blogs.nytimes.com/2010/04/15/a-song-about-forgetting/,A jazz singer grapples with her mother’s memory loss.,"Cynthia Scott’s voice came wafting out of my car radio on a Sunday morning. She’s a lovely singer, a veteran of jazz clubs and international festivals and, back when, one of Ray Charles’s Raelettes.",The New York Times,[],[],2010-04-15T15:18:56+0000,article,Science,Health,,nyt://article/d3cd4c21-5d14-5281-a176-536c53f3ae07,289,,nyt://article/d3cd4c21-5d14-5281-a176-536c53f3ae07,A Song About Forgetting,The New Old Age,,,,,,By Paula Span,"[{'firstname': 'Paula', 'middlename': None, 'lastname': 'Span', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,Alzheimer
